Family Name,Group (Order),Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Nematogenyidae,Siluriformes,Extant,0,Freshwater,fishbase (dePinna MCC 2003),0.211,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,pectoral f.s.,,central Chile
Nemichthyidae,Anguilliformes,Extant,0,Marine,fishbase (Nelson JS 1994),0.912,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,Bathypelagic and mesopelagic,"Atlantic, Indian, and Pacific"
Nemipteridae,Perciformes,Extant,0,Marine,fishbase (Russell BC 1990),0.1,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Tropical and sub-tropical Indo-West Pacific
Neoscopelidae,Myctophiformes,Extant,0,Marine,wiki; http://zoolstud.sinica.edu.tw/Journals/40.2/103.pdf,0.118,NA,,planktivore? ,1,0,0,NA,1,0,*,NA,1,0,0,NA,,,"Atlantic, Indian and Pacific Oceans"
Nettastomatidae,Anguilliformes,Extant (mid Eocene),0,Marine,fishbase (Nelson JS 1994; Berg LS 1958); wiki,0.417,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,"Atlantic, Indian and Pacific. Tropical and warm temperate"
Nomeidae,Perciformes,Extant (Oligocene),0,Marine,fishbase (Nelson 1984); wiki,0.11,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,tropical and subtropical seas
Normanichthyidae,Scorpaeniformes,Extant,0,Marine,fishbase (Nelson 1984); Nelson et al 2016,0.063,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s. (Price et al); Nelson et al 2016 reports that this taxon only has one pelvic fin spine.",,
Notacanthidae,Notacanthiformes,Extant,0,Marine,wiki,0.318,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,off Chile
Notopteridae,Osteoglossiformes,Extant,0,"Freshwater, brackish",fishbase (Nelson 1984),0.214,NA,,?,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,Africa and Southeast Asia
Notosudidae,Aulopiformes,Extant,0,Marine,wiki,0.174,NA,,?,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,Subarctic to Subantarctic waters
Nototheniidae,Perciformes,Extant,0,Marine,wiki,0.109,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,high latitudes of Southern Hemisphere and coastal Antarctic
Odacidae,Perciformes,Extant,0,Marine,fishbase (Nelson JS 1994); wiki,0.119,NA,,carnivore and herbivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",Coastal,Australia and New Zealand
Odontobutidae,Perciformes,Extant,0,Freshwater,fishbase (Nelson JS 1994),0.12,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"freshwater streams of northern Vietnam, China, Korea, Japan, and Russia"
Ogcocephalidae,Lophiformes,Extant,0,Marine,fishbase (NelsonJs 1994); wiki,0.05,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s. (Price et al); Nelson et al 2016 body is covered in modified scales (conical tubercles)",,worldwide in tropical and subtropical seas except absent from the Mediterranean Sea
Olyridae,Siluriformes,"Extant, Paleocene",0,"Freshwater, brackish","fishbase (Nelson 1994), (Berg 1958); https://www.mysciencework.com/publication/download/aedb4d4b454c7cfc1d7dbe0fdacf4078/2729a4e97ed3b9b745182b380ba388a9",0.205,NA,,omnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"pectoral f.s. (Price et al); Nelson et al 2016 place these into Bagridae, but these do not have a dorsal spine like the rest of that family.",,India and Burma
Omosudidae,Aulopiformes,Extant,0,Marine,fishbase (Nelson JS 1984); wiki,0.166,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,synonym of Alepisauridae,,Atlantic and Indian Oceans
Oneirodidae,Lophiliformes,Extant,0,Marine,wiki,0.094,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.; anglerfishes!!!",,"Atlantic, Indian and Pacific"
Ophichthidae,Anguilliformes,Extant,0,Marine,wiki,0.528,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,tropical to warm temperate waters
Ophidiidae,Ophidiiformes,Extant (Eocene),0,Marine,fishbase (Nelson 1994; Berg 1958); http://onlinelibrary.wiley.com/store/10.1111/j.0022-1112.2004.00476.x/asset/j.0022-1112.2004.00476.x.pdf;jsessionid=5B214F0331628E0A30288C480BE63F50.f01t04?v=1&t=j0uv16mc&s=8d5028ed94e66cb5866bd592d78e5f67ace78ac6,0.082,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic, Indian, and Pacific Oceans"
Opistognathidae,Perciformes,Extant,0,Marine,fishbase (Nelson 1994),0.166,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"western and central Atlantic, Indian, and Pacific (Gulf of California to Panama)"
Oplegnathidae,Perciformes,Extant,0,Marine,fishbase (Nelson 1994),0.106,NA,,carnivore (barnacles & mollusks) ,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Japan, southern half of Australia to Tasmania, Galapagos and Peru, and South Africa"
Oreosomatidae,Zeiformes,Extant,0,Marine,Nelson et al 2016; https://www.sprfmo.int/assets/Fisheries/Species-Profiles/SPRFMO4SWG11-Species-profile-Oreosomatidae.pdf,0.087,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.; Nelson et al 2016 reports pelvic spine as well.",,"Antarctic, Atlantic, Indian, and Pacific (reported primarily off South Africa and southern Australia)"
Osmeridae,Osmeriformes,Extant,0,"Freshwater, brackish, marine",fishbase (Nelson JS 1984); wiki,0.19,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,coastal,Northern Hemisphere in Atlantic and Pacific Oceans
Osphronemidae,Perciformes,Extant (lower Tertiary),0,Freshwater,fishbase (Nelson 1994; Berg 1958),0.052,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.; gourami",,Pakistan and India to SE asia
Osteoglossidae,Osteoglossiformes,Extant (Eocene),0,Freshwater,fishbase (Ferraris CJ Jr 2003; Berg 1958),0.266,NA,,"omnivore, carnivore",1,0,0,NA,1,0,0,NA,1,0,0,NA,,,"circumtropical, South America, Africa, and SE Asia to northern Australia"
Ostraciidae,Tetraodontiformes,Extant (Lower Eocene),0,Marine,fishbase (Nelson 1994; Berg 1958),0.088,NA,,"omnivore (small inverts, algae)",1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s. (Price et al); Nelson et al 2016 says no spinous dorsal and reports no anal f.s.",,"Atlantic, Indian and Pacific Oceans"
Ostracoberycidae,Perciformes,Extant,0,Marine,fishbase (Nelson 1994),0.097,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Eastern and northern Indian and western Pacific Oceans
Pangasiidae,Siluriformes,Extant (Miocene),0,"Freshwater, brackish, marine","fishbase (Nelson JS 1994, Berg 1958)",0.224,NA,,omnivore?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., pectoral f.s.",,southern Asia (Pakistan to Borneo)
Pantodontidae,Osteoglossiformes,Extant,0,Freshwater,fishbase (Nelson 1984),0.06,NA,,carnivore (insects and fish),1,0,0,NA,1,0,0,NA,1,0,0,NA,,,tropical western Africa
Paralepididae,Aulopiformes,Extant (Miocene),0,Marine,"fishbase (Nelson JS 1994, Berg LS 1958)",0.288,NA,,carnivore,1,0,0,NA,1,0,0,NA,1,0,0,NA,,,circumglobal
Paralichthyidae,Pleuronectiformes,Extant (Miocene),0,"Freshwater, brackish, marine","fishbase (Nelson JS 1994, Berg LS 1958)",0.137,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"Atlantic, Indian and Pacific Oceans"
Paraulopidae,Aulopiformes,Extant,0,Marine,fishbase (Sato and Nakabo 2002),0.236,NA,,?,1,0,0,NA,1,0,0,NA,1,0,0,NA,,benthic,Tropical to temperate  Indian and western Pacific (southern Japan and Emperor Seamounts south to Australia and New Zealand)
Pataecidae,Scorpaeniformes,Extant,0,Marine,fishbase (Nelson JS 1994); wiki; https://australianmuseum.net.au/red-indianfish-pataecus-fronto,0.16,NA,,carnivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.; dorsal fin extends to head",,Australia
Pegasidae,Gasterosteiformes,Extant,0,Marine,fishbase (Nelson JS 1984),0.091,NA,,carnivore (inverts),1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Indo-West Pacific
Pempheridae,Perciformes,Extant,0,"Brackish, marine",fishbase (Nelson JS 1994),0.107,NA,,planktivore,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,"western Atlantic, Indian and Pacific Oceans"
Pentacerotidae,Perciformes,Extant,0,Marine,fishbase (Nelson JS 1984),0.12,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Indo-Pacific and southwestern Atlantic
Percichthyidae,Perciformes,Extant (Eocene),0,"Freshwater, brackish",fishbase (Nelson JS 1994; Berg LS 1958); http://www.fao.org/3/a-y4161e/y4161e49.pdf,0.081,NA,,?,1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Australia and South America (primarily Argentina and Chile)
Percidae,Perciformes,Extant (Lower Eocene),0,"Freshwater, brackish","fishbase (Nelson JS 1984, Berg LS 1958)",0.067,NA,,carnivore (wiki for Perch),1,0,0,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., anal f.s.",,Northern Hemisphere
Percophidae,Perciformes,Extant,0,Marine,fishbase (Nelson JS 1994); ftp://ftp.fao.org/docrep/fao/009/ad468e/AD468eJC.pdf,0.164,NA,,carnivore,1,0,1,NA,1,1,0,NA,1,0,0,NA,"dorsal f.s., pectoral f.s. (Price et al); 2 spines on opercle (Fao)",,"Atlantic, Indo-West Pacific, and southeastern Pacific"
