Groupe,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Thelodonts,Paralogania,martinssoni,Shieliiformes,Shieliidae,Silurian,Wenlock,,,9g Beds,,Norway,433,427,Boucot and Janis 1983 for BA
Thelodonts,Paralogania,martinssoni,Shieliiformes,Shieliidae,Silurian,Wenlock-Ludlow,Rootsikula-Paadla Stage,,,,Estonia,429,427,Boucot and Janis 1983 for BA
Thelodonts,Paralogania,martinssoni,Shieliiformes,Shieliidae,Silurian,Wenlock,,,Samojlovich Formation,,"October Revolution Island, Russian Federation",433,427,Blieck et al 2002; Turner 1999 for BA
Thelodonts,Paralogania,martinssoni,Shieliiformes,Shieliidae,Silurian,Ludlow,,,Ust'-Spokojnaya Formation,,"October Revolution Island, Russian Federation",427,423,Blieck et al 2002; Turner 1999 for BA
Thelodonts,Pezopallichthys,ritchiei,Furcacaudiformes,Pezopallichthyidae,Silurian,Llandovery,Edgecombeaspis belli zone,Delorme Group,Road River Formation,,"Avalanche Lake AV1A, Northwest Territories, Canada",435,433,Soehn et al 2001; Boucot and Janis 1983 for BA
Thelodonts,Phillipsilepis,crassa,Thelodontiformes,Lanarkiidae,Silurian,Wenlock,lower Sheinwoodian,,Cape Phillips Formation,,"Baillie-Hamilton Island, Canada",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Phillipsilepis,cornuta,Thelodontiformes,Lanarkiidae,Silurian,Wenlock,lower Sheinwoodian,,Cape Phillips Formation,,"Thorsteinsson quarry, Cape Phillips, Cornwallis Island",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Phillipsilepis,pusilla,Thelodontiformes,Lanarkiidae,Silurian,Wenlock,lower Sheinwoodian,,Cape Phillips Formation,,"Thorsteinsson quarry, Cape Phillips, Cornwallis Island",433,432,Marss et al 2002; Boucot and Janis 1983 for BA; deep subtidal marine - Chen et al 2012 demonstrate the transported nature of a lot of the brachiopods from shallower water
Thelodonts,Phlebolepis,elegans,Phlebolepidiformes,Phlebolepididae,Silurian,,Ludfordian,,Hemse Beds Formation,Upper Member,"Gogs, Gotland",424,423,Gross 1968; Boucot and Janis 1983 for BA
Thelodonts,Phlebolepis,elegans,Phlebolepidiformes,Phlebolepididae,Silurian,Ludlow,upper Gorstian,,Aymestrey Limestone,,Beechenbank,426,425,Marss and Miller 2004; Turner 1999 for BA
Thelodonts,Phlebolepis,elegans,Phlebolepidiformes,Phlebolepididae,Silurian,Ludlow,Gorstian ,,Upper Bringewood Formation,,"Chance's Pitch, Malvern Hills",427,425,Turner 2000; Sepkoski 1998 for environment
Thelodonts,Phlebolepis,elegans,Phlebolepidiformes,Phlebolepididae,Silurian,K1-Vt,Rootsikula,,Viita Beds Formation,,Estonia,429,427,Mark-Kurik 1969; Boucot and Janis 1983 for BA
Thelodonts,Phlebolepis,elegans,Phlebolepidiformes,Phlebolepididae,Silurian,K2-H,Paadla,,Himmiste Beds Formation,,"Saaremaa Island, Estonia",427,423,Marss 1986; Mark-Kurik 1969; Boucot and Janis 1983 for BA
Thelodonts,Phlebolepis,elegans,Phlebolepidiformes,Phlebolepididae,Silurian,Wenlock,Sheinwoodian,,Sundvollen Formation,,Norway,430,427,Turner & Turner 1974; Baarli et al 1999; Davies et al. 2005
Thelodonts,Phlebolepis,elegans,Phlebolepidiformes,Phlebolepididae,Silurian,Ludlow,,,Kuba Formation,,"C. Urals, Russian Federation",427,423,Sapelnikov et al 1999 for BA; Turner 1999 has this as BA 4
Thelodonts,Phlebolepis,elegans,Phlebolepidiformes,Phlebolepididae,Silurian,Ludlow,,,Ust'-Spokojnaya Formation,,"Spokoinaya and Matusevich Rivers, October Revolution Island, Russian Federation",427,423,Blieck et al 2002; Turner 1999 for BA
Thelodonts,Shielia,taiti,Shieliiformes,Shieliidae,Silurian,Wenlock,,,Slot Burn Formation,,"Lyne Water, Midland Valley, Scotland",433,432,Plotnick 1999 for environment
Thelodonts,Shielia,taiti,Shieliiformes,Shieliidae,Silurian,Wenlock,,,Fish Bed Formation,,"Lyne Water, Midland Valley, Scotland",432,431,Plotnick 1999 for environment
