Group,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Osteotracans,Camptaspis?,brevirostris,,unnamed group D,Devonian,Lower,Emsian,,Water Canyon ,,Utah,407,393,Reed 1997 (unpublishes thesis); Williams & Taylor 1964
Osteotracans,Camptaspis??,wyomingensis,,unnamed group D,Devonian,Lower,Emsian,,"Water Canyon, Beartooth Butte",,Wyoming,407,393,Reed 1997 (unpublishes thesis); Williams & Taylor 1964
Osteotracans,Cephalaspis,lyelli,,,Devonian,Lower,Lochkovian,Arbuthnott Group,,,"Scotland; Glamis, Forfarshire",413,411,"Lavender and Wellman, 2002; Mykura, 1991; Dineley & Metcalf 1999"
Osteotracans,Cephalaspis,cradleyensis,,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,Fraenkel (Plant horizon),Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Cephalaspis,sollasi,,,Devonian,Lower,,,(Lower Old Red Sandstone),,Welshborderlands; Cradley,419,393,"Allen and Tarlo, 1963; Schmitz et al., 2016"
Osteotracans,Cephalaspis,producta,,,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Dartmuthia,gemmifera,Thyestiida,Tremataspidoidea,Silurian,Ludlow,Gorstian,,Paadla (2),,Baltic; Saaremaa,427,423,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2003; Boucot & Janis 1983"
Osteotracans,Diademaspis,brevicornis,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Diademaspis,fracticornis,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Diademaspis,jarviki,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Diademaspis,stensioei,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Dniester,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Diademaspis,janvieri,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Dittonian,(Rhinopterus crouchi zone),,Welshborderlands,415,413,"Allen and Tarlo, 1963; Schmitz et al., 2001"
Osteotracans,Diademaspis,poplinae,Zenaspidida,Zenaspididae,Devonian,Lower,Emsian,,Wood Bay,Stjordalen,Spitsbergen,400,393,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Diademaspis?,mackenziensis,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,,Delmorme,Unit 10,"North West Territories, Canada",417,410,"Dineley and Loeffler 1976, Zorn et al 2005"
Osteotracans,Dicranaspis,circinus,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Dicranaspis,triangularis,Benneviaspidida,Boreaspididae,Devonian,Lower,Emsian,,Wood Bay,"Kapp Kjeldsen, Lykta",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Dicranaspis,spinicornis,Benneviaspidida,Boreaspididae,Devonian,Lower,Emsian,,Wood Bay,"Kapp Kjeldsen, Lykta",Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Dicranaspis,gracilis,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Wood Bay,Lyktan Division,Spitsbergen,407,400,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Dicranaspis,curtirostris,Benneviaspidida,Boreaspididae,Devonian,Lower,Emsian,,Wood Bay,Lyktan Division,Spitsbergen,407,400,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Didymaspis,grindrodi,Thyestiida,Kiaeraspidoidea,Silurian,Pridoli,Pridoli,,Red Downton Formation (Traquairaspis pocoki zone),,Welshborderlands,423,419,Cocks et al 2003
Osteotracans,Ectinaspis,heintzi,Benneviaspidida,,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,primeava horizon,Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Escuminaspis,laticeps,Zenaspidida,Parameteoraspididae,Devonian,Upper,Frasnian,,Escmuinac formation,,Quebec,382,377,"Cloutier et al., 1996; Hesse and Sawh, 1992; Prichonnet et al., 1996 "
Osteotracans,Gustavaspis,trinodis,Thyestiida,Kiaeraspididae,Devonian,Lower,Emsian,,Wood Bay,Stjordalen Division,Spitsbergen,400,393,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Hapilaspis,apheles,Benneviaspidida,Boreaspididae,Devonian,Lower,Pragian,,Spokoinaya ,,"Severnaya Zemyla, Arctic Russia",410,408,"Ma_nnik et al., 2002 "
Osteotracans,Hemicyclaspis,murchinsoni,,,Silurian,Pridoli,Pridoli,,Downton Castle Sandstone Formation,,Welshborderlands,423,419,Cocks et al 2003; Plotnick 1999; Dineley & Metcalf 1999
Osteotracans,Hemicyclaspis,ludlowensis,,,Silurian,Pridoli,Pridoli,,(Downtonian),,Welshborderlands,423,419,Cocks et al 2003
Osteotracans,Hemicyclaspis,kiaeri,,,Silurian,Pridoli,Pridoli,,(Lower Downtonian),,"Norway; Jeloy, Oslo Region, ",423,421,Davies et al 2006; Davies et al 2005
Osteotracans,Hemicyclaspis,heintzi,,,Silurian,Pridoli,"Pridoli (could be Ludlow or Wenlock though, Marshall 1991)",,Cowie Formation,Dictyocaris band,"Scotland; Stonehaven,  Aberdeenshire",430,420,Plotnick 1999
Osteotracans,Hildenaspis,digitalis,,,Devonian,Lower,Pragian,,Bensberg formation,Hahner muhle sediments,"Rhineland, Germany; Bielstien",410,407,Wehrmann et al 2005 
Osteotracans,Hirella,gracilis,,Ateleaspididae,Silurian,Wenlock,Homerian,,Sundvollen Formation,,"Norway; Rudstangen, Oslo Region",430,427,"Davies et al 2006; Davies et al 2005, Baarli et al 2003"
Osteotracans,Hoelaspis,angulata,Benneviaspidida,Boreaspidoidea,Devonian,Lower,Pragian,,Ben Nevis,Ctenaspis and Benneviaspis horizon,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Ilemoraspis,kirkinskayae,Thyestiida,,Devonian,Early,Emsian,,Matarakskaya ,Pridorozhnaya ,"Khakassia, Central Asia",407,400,Sansom et al 2008
Osteotracans,Kiaeraspis,auchenaspidoides,Thyestiida,Kiaeraspididae,Devonian,Lower,Pragian,Red Bay,Ben Nevis,Ctenaspis and Benneviaspis horizons,Spitsbergen,410,408,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Levesquaspis,patteni,Zenaspidida,Parameteoraspididae,Devonian,Upper,Frasnian,,Escmuinac formation,,Quebec,382,377,"Cloutier et al., 1996; Hesse and Sawh, 1992; Prichonnet et al., 1996 "
Osteotracans,Machairaspis,isachseni,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,,Wood Bay,Kapp Kjeldsen Division,Spitsbergen,409,408,Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
