Group,Genus,species,Order,Family,System,Series,Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Osteotracans,Tremataspis,schrenkii,Thyestiida,Tremataspididae,Silurian,Wenlock,Homerian,,Rootsikula 1-3,,Baltic; Saaremaa,429,427,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2004; Boucot & Janis 1983"
Osteotracans,Tremataspis,mammillata,Thyestiida,Tremataspididae,Silurian,Ludlow,Gorstian,,Paadla (2),,Baltic; Saaremaa,427,423,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2003; Boucot & Janis 1983"
Osteotracans,Tremataspis,milleri,Thyestiida,Tremataspididae,Silurian,Wenlock,Homerian,,Rootsiukla 3,,Baltic; Saaremaa,429,427,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2004; Boucot & Janis 1983"
Osteotracans,Tremataspis,obruchevi,Thyestiida,Tremataspididae,Silurian,Ludlow,Gorstian,,Ustye Spokoinoi ,,"Severnaya Zemyla, Arctic Russia",427,425,Turner 1999
Osteotracans,Tremataspis,rohoni,Thyestiida,Tremataspididae,Silurian,Ludlow,Gorstian,,Paadla (2),,Baltic; Saaremaa,427,423,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2003; Boucot & Janis 1983"
Osteotracans,Trewinia,magnifica,Zenaspidida,Parameteoraspididae,Devonian,Middle,Eifelian,"Upper Caithness Flagstone group (lowerpart, lower Latheron subgroup)",,,Scotland,386,384,Dineley 1999
Osteotracans,Tyriaspis,whitei,Thyestiida,Tremataspidoidea,Silurian,Wenlock,Homerian,,Sundvollen,Zone 10,Norway; Oslo Region,430,427,"Davies et al 2006; Davies et al 2005, Baarli et al 2003"
Osteotracans,Ukrainaspis,kozlowskii,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Tiver,"Ivanie, Ustechko",,Podolia,413,411,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Waengsjoeaspis,excellens,,unnamed group D,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,Anglaspis Horizons,Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Waengsjoeaspis,vogti,,unnamed group D,Devonian,Lower,Lochkovian,Red Bay Group,Fraenkelryggen,Anglaspis Horizons,Spitsbergen,417,415,Harland 1997 chpt.16 Geology of Svalbard; Boucot & Janis 1983
Osteotracans,Waengsjoeaspis,nahanniensis,,unnamed group D,Devonian,Lower,Lochkovian,,Delmorme,Unit 10,"North West Territories, Canada",417,410,"Dineley and Loeffler 1976, Zorn et al 2005"
Osteotracans,Witaaspis,schrenkii,Thyestiida,,Silurian,Wenlock,Homerian,,Rootsikula,,Baltic; Saaremaa,429,427,"Janvier, 1985a; Ma_rss and Einasto, 1978 ; Baarli et al 2004; Boucot & Janis 1983"
Osteotracans,Wladysagitta,janvieri,Zenaspidida,,Devonian,Lower,Pragian,Dniester,Khmeleva ,Khmeleva ,Podolia,410,409,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Wladysagitta,acutirostris,Zenaspidida,,Devonian,Lower,,Dittonian,,,Welshborderlands,419,410,"Allen and Tarlo, 1963; Schmitz et al., 1998"
Osteotracans,Yvonaspis,campbelltonensis,,unnamed group D,Devonian,Lower,Emsian,,La Garde,,Quebec,396,393,"Blieck and Cloutier, 2000; Griffing et al., 2002"
Osteotracans,Yvonaspis,dawsoni,,unnamed group D,Devonian,Lower,Emsian,,Battery Point,,Quebec,400,393,"Blieck and Cloutier, 2000; Griffing et al., 2003; Cant 1974"
Osteotracans,Yvonaspis,jexi,,unnamed group D,Devonian,Lower,Emsian,,La Garde,,Quebec,396,393,"Blieck and Cloutier, 2000; Griffing et al., 2004"
Osteotracans,Yvonaspis,lunata,,unnamed group D,Devonian,Lower,Emsian,,Battery Point,,Quebec,400,393,"Blieck and Cloutier, 2000; Griffing et al., 2003; Cant 1974"
Osteotracans,Yvonaspis,peninsulae,,unnamed group D,Devonian,Lower,Emsian,,Battery Point,,Quebec,400,393,"Blieck and Cloutier, 2000; Griffing et al., 2003; Cant 1974"
Osteotracans,Yvonaspis,westolli,,unnamed group D,Devonian,Lower,Emsian,,Battery Point,,Quebec,400,393,"Blieck and Cloutier, 2000; Griffing et al., 2003; Cant 1974"
Osteotracans,Yvonaspis,syndenhami,,unnamed group D,Devonian,Lower,Emsian,,Battery Point,,Quebec,400,393,"Blieck and Cloutier, 2000; Griffing et al., 2003; Cant 1974"
Osteotracans,Zenaspis,salweyi,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Dittonian,(Rhinopterus crouchi zone),,Welshborderlands,415,413,"Allen and Tarlo, 1963; Schmitz et al., 1999"
Osteotracans,Zenaspis,metopias,Zenaspidida,Zenaspididae,Devonian,Lower,Pragian,,Ben Nevis,Benneviapis horizons,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Osteotracans,Zenaspis,podolica,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Zenaspis,waynensis,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,Dittonian,(Rhinopterus crouchi zone),,Welshborderlands,415,413,"Allen and Tarlo, 1963; Schmitz et al., 2000"
Osteotracans,Zenaspis,dzieduszyckii,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Zenaspis,major,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Zenaspis,kasymyri,Zenaspidida,Zenaspididae,Devonian,Lower,Lochkovian,,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Zychiaspis,siemiradzkii,,,Devonian,Lower,Lochkovian,Tiver,"Ivanie, Ustechko",,Podolia,414,412,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Zychiaspis,elegans,,,Devonian,Lower,Pragian,,Khmeleva,,Podolia,410,409,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Zychiaspis,granulata,,,Devonian,Lower,Lochkovian,Dniester,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
Osteotracans,Zychiaspis,concinna,,,Devonian,Lower,Lochkovian,Dniester,Ustechko,,Podolia,412,410,"Schmitz et al., 1991; Uchman et al., 2004"
