Group,Genus,Species,1,2,3,Superfamily,Family,System,Series,Stage,Regional Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Conodont,Kockelella,sp.,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,,Silurian,,Sheinwoodian,,,Jamaja Formation,,"Ruhnu core, Estonia",433,430,Mannik 2003
Conodont,Kockelella,sp.,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,,Silurian,,Sheinwoodian,,,Bisher Formation,,"Highland County, Ohio",433,430,Kleffner 1990
Conodont,Mehlina,gradata,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Polygnathidae,Devonian,,Frasnian,middle,,Buregi Formation,,"Ilmen Lake Buregi Beds, Russian Federation",381,379,Zhuravlev 1999
Conodont,Mesotaxis,ovalis,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Gogo Formation,,northern Canning Basin,381,379,George et al 2009
Conodont,Mesotaxis,ovalis,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Palmatolepidae,Devonian,,Frasnian,,,Virgin Hills Formation,,northern Canning Basin,381,379,George et al 2009
Conodont,Microzarkodina,sp.,Prioniodontida,Ozarkodinida,,,,Ordovician,Arenig,,,,Dawan Formation,,"Hubei Province, China",471,467,Wang et al 1987
Conodont,Microzarkodina,sp.,Prioniodontida,Ozarkodinida,,,,Ordovician,Arenig,,,,Kimaiskii Formation,,"Kulumbe River Valley, Siberia",478,466,Sokolov 1982
Conodont,Microzarkodina,flabellum,Prioniodontida,Ozarkodinida,,,,Ordovician,Floian,,,,Volkhov Stage Formation,Dikari Member,"Putilovo Quarry, north-western Russia",477,471,Tolmacheva et al 2003
Conodont,Nicollidina,brevis,,,,,,Devonian,Frasnian,Gogo equivalent,,,Napier Formation,,"Oscar Range, Canning Basin, WA",381,379,Nicoll 1985; Playford 1980 and Stephens & Sumner 2003 for environment
Conodont,Nicollidina,remscheidensis,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,Genus Nicollidina,Silurian,Wenlock,,,,Fluminimaggiore Formation,,"Sardinia, Italy",433,427,Ferretti et al 1999
Conodont,Oepikodus,sp.,Prioniodontida,,,,,Ordovician,Arenig,lower,,,San Juan Formation,,"Talacasto, Argentina",477,470,Benedetto & Herrera 1993
Conodont,Oepikodus,sp.,Prioniodontida,,,,,Ordovician,Arenig,lower,,,San Juan Formation,,"Rio Gualcamayo, Cerro Vie, Argentina",477,470,Keller et al 1994
Conodont,Oulodus,sp.,Prioniodontida,Ozarkodinida,Prioniodinina,,,Ordovician,Arenig,,,,Dawan Formation,,"Hubei Province, China",478,466,Wang et al 1987
Conodont,Ozarkodina,cf. excavata,Prioniodontida,Ozarkodinida,Ozarkodinina,,,Silurian,Llandovery,Telychian,,,Kilbride Formation,,"Coolin Lough, Galway, Ireland",438.5,433.5,Aldridge et al 1996
Conodont,Ozarkodina,ex gr. confluens,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,,Silurian,,Sheinwoodian,,,Jaagarahu Formation,Vilsandi Member,"Viki core, Estonia",431.5,428.5,Mannik 2010; Boucot & Janis 1983 for BA
Conodont,Ozarkodina,ex gr. confluens,Prioniodontida,Ozarkodinida,Ozarkodinina,Polygnathacea,,Silurian,,Sheinwoodian,,,Jaagarahu Formation,Maasi Member,"Viki core, Estonia",431.5,428.5,Mannik 2010; Boucot & Janis 1983 for BA
