Anaspids,Liivilepis,curvata,Birkeniida,Septentrioniidae,Silurian,Ludlow,Ludfordian,Upper Paadla,,,Tabuska Beds,central Urals,425,424,"Vergoossen, 2004"
Anaspids,Liivilepis,curvata,Birkeniida,Septentrioniidae,Silurian,Ludlow,Ludfordian,,,Burgsvik Fm,Hoburgen 3,"Gotland, Sweden",423,423,Blom et al. 2002
Anaspids,Liivilepis,curvata,Birkeniida,Septentrioniidae,Silurian,Ludlow,Ludfordian,,,Kuressaare Fm,Tahula beds,"Saaremaa Island, Estonia",424,424,Blom et al. 2002
Anaspids,Liivilepis,curvata,Birkeniida,Septentrioniidae,Silurian,Pridoli,Pridoli,T. sculptilis zone,,Oved Sandstone,Ramsaasaa Site E,"Skane, Sweden",424,423,"Vergoossen, 2004"
Anaspids,Liivilepis,curvata,Birkeniida,Septentrioniidae,Silurian,Pridoli,Pridoli,,,Ohesaare Fm,,"Ruhnu Island, Estonia",421,420,Blom et al. 2002
Anaspids,Manbrookia,asperella,Birkeniida,Septentrioniidae,Silurian,Pridoli,Pridoli,,,,Man Brook 7,"Man Brook, Trimpley Worchestershire, UK",419,419,Blom et al. 2002
Anaspids,Maurylepis,lacrimens,Birkeniida,Rhyncholepididae,Silurian,Wenlock,Homerian,,,Cape Phillips,Baillie-Hamilton section 1,Arctic Canada,433,432,Blom et al. 2002
Anaspids,Pharyngolepis,oblonga,Birkeniida,Pharyngolepididae,Silurian,Ludlow,Gorstian,,Ringerike,Sundvollen Fm,Rudstangen,"Oslo, Norway",427,425,Blom et al. 2002
Anaspids,Pharyngolepis,heintzi,Birkeniida,Pharyngolepididae,Silurian,Ludlow,Gorstian,,Ringerike,Sundvollen Fm,Rudstangen,"Oslo, Norway",427,425,Blom et al. 2002
Anaspids,Pharyngolepis,sp.,Birkeniida,Pharyngolepididae,Silurian,Ludlow,Ludfordian,,,Paadla Fm,Himmiste Beds,East Baltic,425,424,Blom et al. 2002
Anaspids,Pharyngolepis,sp.,Birkeniida,Pharyngolepididae,Silurian,Ludlow,Ludfordian,,Hemse,Petes Fm,,"Gotland, Sweden",425,425,Blom et al. 2002; Bremer and Blom 2015
Anaspids,Pterygolepis,nitida,Birkeniida,Pterygolepididae,Silurian,Ludlow,Gorstian,,,Sundvollen Fm,Rudstangen,"Oslo, Norway",427,425,Blom et al. 2002; Davies et al. 2005
Anaspids,Pterygolepis,nitida,Birkeniida,Pterygolepididae,Silurian,Ludlow,Gorstian,,,Ust-Spokonaya,Assemblage 1 (Lower),"October Revolution Island and Pioneer Island, Severnaya Zemlya, Russia",426,425,Blom et al. 2002
Anaspids,Pterygolepis,nitida,Birkeniida,Pterygolepididae,Silurian,Wenlock,Homerian,,Ringerike,Steinfjorden Fm,Ranberget,"Ringerike, Norway",429,427,Blom et al. 2002
Anaspids,Pterygolepis,nitida,Birkeniida,Pterygolepididae,Silurian,Wenlock,Homerian,,,Halla,Mulde,"Gothemshammar, Gotland, Sweden",429,429,Blom et al. 2002; Bremer and Blom 2015
Anaspids,Pterygolepis,nitida,Birkeniida,Pterygolepididae,Silurian,Wenlock,Homerian,,,Rootsikula Fm,Viita Trench,"Saaremaa, Estonia",429,429,Blom et al. 2002
Anaspids,Pterygolepis,nitida,Birkeniida,Pterygolepididae,Silurian,Wenlock,Homerian,,,Samoilovich Fm,,"Ushakov River, October Revolution Island and Spokoinaya River, Pioneer Island, Severnaya Zemlya, Russia",430.5,429,Blom et al. 2002
Anaspids,Pterygolepis,nitida,Birkeniida,Pterygolepididae,Silurian,Wenlock,Sheinwoodian,,,Jaargarahu Fm,Maasi Beds,"Saaremaa, Estonia",431,431,Blom et al. 2002
Anaspids,Pterygolepis,nitida,Birkeniida,Pterygolepididae,Silurian,Wenlock,Sheinwoodian,,,,Slite Marlstone,"Gotland, Sweden",430,430,Blom et al. 2002
Anaspids,Ramsaalepis,porosa,Birkeniida,Ramssalepididae; Septrioniida+ Tahulalepis relatives,Silurian,Pridoli,Pridoli,,,Oved Sandstone,Ramsaasa site E,"Ramsaasa, Skane, Sweden",424,423,Blom et al. 2003
Anaspids,Rhyncholepis,parvula,Birkeniida,Rhyncholepidae,Silurian,Ludlow,Gorstian,,Ringerike,Sundvollen Fm,Rudstangen,"Oslo, Norway",427,425,Blom et al. 2002; Davies et al. 2005
Anaspids,Rhyncholepis,parvula,Birkeniida,Rhyncholepididae,Silurian,Ludlow,Gorstian,,,Ust-Spokonaya,Assemblage 1 (Lower),"Ushakov River, October Revolution Island and Pioneer Island, Severnaya Zemlya, Russia",426.5,425.5,Blom et al. 2002
