"","Agulhas","Amsterdam-St_Paul","Andaman","Arctic","Bay_of_Bengal","Benguela","Black_Sea","Central_Indian_Ocean_Islands","Central_Polynesia","Cold_Temperate_Northeast_Pacific","Cold_Temperate_Northwest_Atlantic","Cold_Temperate_Northwest_Pacific","Continental_High_Antarctic","East_Central_Australian_Shelf","Easter_Island","Eastern_Coral_Triangle","Galapagos","Gulf_of_Guinea","Hawaii","Java_Transitional","Juan_Fernandez_and_Desventuradas","Lord_Howe_and_Norfolk_Islands","Lusitanian","Magellanic","Marquesas","Marshall__Gilbert_and_Ellis_Islands","Mediterranean_Sea","North_Brazil_Shelf","Northeast_Australian_Shelf","Northern_European_Seas","Northern_New_Zealand","Northwest_Australian_Shelf","Red_Sea_and_Gulf_of_Aden","Sahul_Shelf","Scotia_Sea","Somali_Arabian","South_China_Sea","South_Kuroshio","Southeast_Australian_Shelf","Southeast_Polynesia","Southern_New_Zealand","Southwest_Australian_Shelf","St__Helena_and_Ascension_Islands","Subantarctic_Islands","Subantarctic_New_Zealand","Sunda_Shelf","Tristan_Gough","Tropical_East_Pacific","Tropical_Northwestern_Atlantic","Tropical_Northwestern_Pacific","Tropical_Southwestern_Atlantic","Tropical_Southwestern_Pacific","Warm_Temperate_Northeast_Pacific","Warm_Temperate_Northwest_Atlantic","Warm_Temperate_Northwest_Pacific","Warm_Temperate_Southeastern_Pacific","Warm_Temperate_Southwestern_Atlantic","West_African_Transition","West_and_South_Indian_Shelf","West_Central_Australian_Shelf","Western_Coral_Triangle","Western_Indian_Ocean"
"Diagramma_centurio",1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,88
"Diagramma_labiosum",1,0,10,0,2,0,0,24,1,0,0,0,0,1,0,74,0,0,0,12,0,0,0,0,0,34,0,0,24,0,0,26,0,76,0,2,38,12,0,0,0,0,0,0,0,24,0,0,0,20,0,50,0,0,11,0,0,0,18,0,187,100
"Diagramma_melanacrum",0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,2,0,21,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,9,0,177,0
"Diagramma_pictum",1,0,37,0,8,0,0,26,0,0,0,0,0,6,0,75,0,0,0,16,0,2,0,0,0,14,0,0,26,0,0,27,32,85,0,28,69,13,0,0,0,0,0,0,0,113,0,0,0,19,0,53,0,0,40,0,0,0,42,10,198,113
"Diagramma_punctatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"Diancistrus_alatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Diancistrus_alleni",0,0,3,0,0,0,0,24,8,0,0,0,0,1,0,78,7,0,9,9,0,0,0,0,2,34,0,0,24,0,0,23,0,39,0,0,17,12,0,0,0,0,0,0,0,1,0,5,1,28,0,52,5,0,9,0,0,0,7,0,151,86
"Diancistrus_altidorsalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,4,0,0,0,0,0,36,0,0,2,0,0,0,0,36,0,0,17,1,0,0,0,0,0,0,0,48,0,0,0,26,0,12,0,0,0,0,0,0,0,0,174,0
"Diancistrus_atollorum",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,37,0
"Diancistrus_beateae",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,3,43,0,0,19,0,0,0,0,37,0,0,13,7,0,0,0,0,0,0,0,0,0,5,1,32,0,47,3,0,1,0,0,0,0,0,133,0
