"","Agulhas","Amsterdam-St_Paul","Andaman","Arctic","Bay_of_Bengal","Benguela","Black_Sea","Central_Indian_Ocean_Islands","Central_Polynesia","Cold_Temperate_Northeast_Pacific","Cold_Temperate_Northwest_Atlantic","Cold_Temperate_Northwest_Pacific","Continental_High_Antarctic","East_Central_Australian_Shelf","Easter_Island","Eastern_Coral_Triangle","Galapagos","Gulf_of_Guinea","Hawaii","Java_Transitional","Juan_Fernandez_and_Desventuradas","Lord_Howe_and_Norfolk_Islands","Lusitanian","Magellanic","Marquesas","Marshall__Gilbert_and_Ellis_Islands","Mediterranean_Sea","North_Brazil_Shelf","Northeast_Australian_Shelf","Northern_European_Seas","Northern_New_Zealand","Northwest_Australian_Shelf","Red_Sea_and_Gulf_of_Aden","Sahul_Shelf","Scotia_Sea","Somali_Arabian","South_China_Sea","South_Kuroshio","Southeast_Australian_Shelf","Southeast_Polynesia","Southern_New_Zealand","Southwest_Australian_Shelf","St__Helena_and_Ascension_Islands","Subantarctic_Islands","Subantarctic_New_Zealand","Sunda_Shelf","Tristan_Gough","Tropical_East_Pacific","Tropical_Northwestern_Atlantic","Tropical_Northwestern_Pacific","Tropical_Southwestern_Atlantic","Tropical_Southwestern_Pacific","Warm_Temperate_Northeast_Pacific","Warm_Temperate_Northwest_Atlantic","Warm_Temperate_Northwest_Pacific","Warm_Temperate_Southeastern_Pacific","Warm_Temperate_Southwestern_Atlantic","West_African_Transition","West_and_South_Indian_Shelf","West_Central_Australian_Shelf","Western_Coral_Triangle","Western_Indian_Ocean"
"Abalistes_filamentosus",0,0,25,0,3,0,0,0,1,0,0,0,0,7,0,55,0,0,0,15,0,0,0,0,0,9,0,0,20,0,0,24,0,43,0,0,43,9,0,0,0,0,0,0,0,55,0,0,0,3,0,44,0,0,29,0,0,0,9,8,190,0
"Abalistes_stellaris",2,0,38,0,6,0,0,25,0,0,0,0,0,3,0,76,0,0,0,16,0,0,0,0,0,24,0,0,23,0,0,27,48,75,0,37,60,13,0,0,0,0,0,0,0,104,0,0,0,16,0,53,0,0,13,0,0,0,42,2,197,105
"Abalistes_stellatus",1,0,22,0,3,0,0,27,0,0,0,0,0,4,0,62,0,0,0,16,0,0,0,0,0,16,0,0,24,0,0,28,49,76,0,28,54,11,0,0,0,0,0,0,0,75,0,0,0,11,0,46,0,0,12,0,0,0,33,4,195,95
"Ablabys_macracanthus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0
"Ablabys_taenianotus",0,0,35,0,0,0,0,0,0,0,0,1,0,6,0,77,0,0,0,16,0,2,0,0,0,34,0,0,26,0,0,27,0,73,0,0,60,13,0,0,0,0,0,0,0,95,0,0,0,29,0,64,0,0,31,0,0,0,0,9,197,0
"Ablennes_hians",9,0,30,0,6,1,0,23,6,0,1,1,0,11,0,65,9,38,6,15,0,3,5,0,5,25,0,17,24,0,1,19,17,56,0,25,41,13,0,13,0,2,2,0,0,77,0,38,137,14,25,44,26,25,27,3,12,8,31,10,187,87
"Abudefduf_abdominalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abudefduf_bengalensis",0,0,15,0,43,0,0,1,0,0,0,2,0,14,0,6,0,0,0,4,0,0,0,0,0,0,0,0,25,0,0,28,0,83,0,2,97,21,0,0,0,0,0,0,0,120,0,0,0,9,0,7,0,0,48,0,0,0,50,14,206,0
"Abudefduf_concolor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abudefduf_conformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abudefduf_declivifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"Abudefduf_lorenzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,165,0
"Abudefduf_luridus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"Abudefduf_natalensis",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Abudefduf_notatus",0,0,62,0,6,0,0,24,25,0,0,4,0,0,0,42,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,12,6,0,33,10,26,0,0,0,0,0,0,0,76,0,0,0,26,0,0,0,0,52,0,0,0,15,0,231,148
"Abudefduf_saxatilis",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,233,0,54,0,0,50,0,0,17,17,0,0,0,0
"Abudefduf_septemfasciatus",5,0,61,0,43,0,0,30,106,0,0,2,0,0,0,106,0,0,0,26,0,0,0,0,13,96,0,0,12,0,0,1,0,7,0,7,28,28,0,92,0,0,0,0,0,28,0,0,0,103,0,124,0,0,36,0,0,0,23,0,229,166
"Abudefduf_sexfasciatus",0,0,15,0,4,0,0,38,70,0,0,4,0,10,0,109,0,0,0,30,0,12,0,0,0,79,0,0,25,0,0,28,68,87,0,34,92,21,0,124,0,2,0,0,0,114,0,0,0,94,0,129,0,0,56,0,0,0,26,14,239,161
"Abudefduf_sordidus",0,0,66,0,43,0,0,38,106,0,0,4,0,15,0,104,0,0,32,26,0,12,0,0,13,79,0,0,23,0,0,28,68,25,0,34,97,21,2,125,0,2,0,0,0,120,0,0,0,94,0,129,0,0,56,0,0,0,43,14,235,163
"Abudefduf_sparoides",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
"Abudefduf_taurus",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,192,0,0,0,0,2,0,0,0,20,0,0,0,0
"Abudefduf_troschelii",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0,0,0,41,0,0,13,0,0,0,0,0,0
"Abudefduf_vaigiensis",0,0,66,0,43,0,0,38,106,0,0,4,0,15,0,104,0,0,44,30,0,12,0,0,13,79,6,0,23,0,0,28,68,25,0,34,97,21,2,119,0,2,0,0,0,120,0,0,0,94,0,129,0,0,56,0,0,0,43,14,235,161
"Abudefduf_whitleyi",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
"Abyssobrotula_galatheae",23,12,38,0,6,19,0,62,200,27,15,13,0,23,20,104,16,78,118,58,39,24,87,30,34,193,0,17,1,3,36,10,12,0,0,35,34,38,38,250,25,32,36,22,21,0,45,135,151,235,96,134,26,6,19,66,5,41,25,12,133,204
"Acanthaluteres_brownii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthaluteres_spilomelanurus",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Acanthaluteres_vittiger",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Acanthanectes_hystrix",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthanectes_rufus",12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthaphritis_barbata",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,16,0,54,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,0,6,0,0,0,0,0,154,0
"Acanthaphritis_grandisquamis",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,12,0
"Acanthemblemaria_aspera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,188,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_balanorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_castroi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_chaplini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,1,0,0,0,0,0,0,0,0
"Acanthemblemaria_crockeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_exilispinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_hancocki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_hastingsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_macrospilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_mangognatha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_maria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthemblemaria_spinosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthistius_brasilianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"Acanthistius_joanae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthistius_ocellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthistius_paxtoni",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthistius_sebastoides",13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Acanthistius_serratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Acanthocepola_abbreviata",0,0,35,0,4,0,0,25,0,0,0,0,0,0,0,53,0,0,0,15,0,0,0,0,0,0,0,0,24,0,0,26,5,84,0,12,59,12,0,0,0,0,0,0,0,100,0,0,0,18,0,13,0,0,4,0,0,0,35,0,197,43
"Acanthocepola_krusensternii",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,22,0
"Acanthocepola_limbata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,36,0,0,42,6,0,0,0,0,0,0,0,27,0,0,0,3,0,4,0,0,6,0,0,0,0,0,161,0
"Acanthochaenus_luetkenii",28,17,47,0,31,30,0,79,0,0,13,6,0,15,0,0,0,99,11,42,5,31,91,29,0,3,0,29,0,0,47,14,22,1,0,52,14,33,26,0,34,21,37,27,22,0,43,0,121,55,78,7,0,6,21,44,19,42,37,11,26,233
"Acanthochromis_polyacanthus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,4,0,0,0,0,0,0,0,0,22,0,0,6,0,23,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,6,0,58,0,0,0,0,0,0,0,0,198,0
"Acanthoclinus_fuscus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthocybium_solandri",21,0,63,0,2,0,0,83,100,3,1,0,0,21,0,149,37,34,81,65,0,6,0,0,7,154,1,45,15,0,0,28,22,32,0,53,25,44,3,0,0,0,16,0,0,21,0,153,212,207,116,57,56,34,36,0,16,47,44,1,229,266
"Acanthodraco_dewitti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthogobius_flavimanus",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
"Acantholabrus_palloni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,70,0,0,0,143,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"Acantholiparis_caecus",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acantholiparis_opercularis",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acantholumpenus_mackayi",0,0,0,44,0,0,0,0,0,19,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Acanthonus_armatus",0,0,0,0,0,16,0,83,0,0,2,3,0,0,0,86,0,110,0,0,0,0,70,0,0,0,0,30,8,0,0,0,26,5,0,60,65,44,0,0,0,0,38,0,0,5,0,16,178,187,103,15,0,6,30,35,0,49,24,0,197,239
"Acanthopagrus_arabicus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
"Acanthopagrus_australis",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Acanthopagrus_berda",16,0,42,0,43,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,47,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,123
"Acanthopagrus_bifasciatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthopagrus_butcheri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Acanthopagrus_chinshira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Acanthopagrus_latus",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
"Acanthopagrus_palmaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"Acanthopagrus_schlegelii",0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
"Acanthoplesiops_echinatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,123,0
"Acanthoplesiops_hiatti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,32,6,0,0,0,0,0,0,0,17,0,0,0,7,0,0,0,0,18,0,0,0,0,0,159,0
"Acanthoplesiops_indicus",2,0,14,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,15,81
"Acanthoplesiops_psilogaster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,24,0,0,0,0,0,58,0
"Acanthopsetta_nadeshnyi",0,0,0,0,0,0,0,0,0,6,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
"Acanthosphex_leurynnis",0,0,36,0,0,0,0,0,0,0,0,9,0,11,0,68,0,0,0,16,0,4,0,0,0,20,0,0,26,0,5,26,0,83,0,0,61,12,2,0,1,24,0,0,0,100,0,0,0,14,0,52,0,0,38,0,0,0,0,11,196,0
"Acanthostracion_guineensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Acanthostracion_notacanthus",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"Acanthostracion_polygonius",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,0,23,0,0,14,0,0,17,0,0,0,0,0
"Acanthostracion_quadricornis",6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,51,0,0,0,0,15,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142,0,19,0,0,34,0,0,20,8,0,0,0,0
"Acanthurus_achilles",0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,13,105,0,0,0,0,0,0,0,0,0,0,0,15,0,138,0,0,0,0,0,0,0,7,0,75,0,52,5,0,5,0,0,0,0,0,3,0
"Acanthurus_albipectoralis",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
"Acanthurus_auranticavus",0,0,34,0,0,0,0,20,10,0,0,0,0,0,0,46,0,0,0,26,0,0,0,0,0,10,0,0,17,0,0,10,0,17,0,0,8,3,0,0,0,0,0,0,0,84,0,0,0,1,0,28,0,0,0,0,0,0,0,0,233,19
"Acanthurus_bahianus",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,206,0,50,0,0,31,0,0,4,0,0,0,0,0
"Acanthurus_bariene",0,0,66,0,8,0,0,20,0,0,0,0,0,0,0,106,0,0,0,26,0,0,0,0,0,0,0,0,14,0,0,6,0,15,0,0,97,20,0,0,0,0,0,0,0,120,0,0,0,43,0,27,0,0,13,0,0,0,0,0,237,25
"Acanthurus_blochii",5,0,0,0,0,0,0,8,76,0,0,0,0,0,0,106,0,0,47,18,0,8,0,0,0,111,0,0,23,0,0,12,17,8,0,16,24,26,0,29,0,0,0,0,0,19,0,0,0,100,0,128,0,0,8,0,0,0,0,0,230,180
"Acanthurus_chirurgus",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,188,0,50,0,0,32,0,0,7,7,0,0,0,0
"Acanthurus_coeruleus",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,193,0,47,0,0,37,0,0,9,0,0,0,0,0
"Acanthurus_dussumieri",13,0,28,0,1,0,0,29,17,0,0,7,0,10,0,106,0,0,49,26,0,12,0,0,0,0,0,0,25,0,6,26,26,13,0,31,92,28,0,6,1,0,0,0,0,114,0,0,0,56,0,129,0,0,30,0,0,0,24,1,237,180
"Acanthurus_fowleri",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0
"Acanthurus_gahhm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthurus_grammoptilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,29,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,10,3,0
