	"Standard 
length (mm)"	"Body 
depth 
(mm)"	"Body 
width
 (mm)"	"Dorsal fin 
spine
 length (mm)"	"Anal fin 
spine 
length 
(mm)"	"Right pectoral
 fin spine length (mm)"	"Left pectoral 
fin spine length (mm)"
Odontobutidae	120.430	28.300	32.270	14.500	13.000	0.000	0.000
Ogcocephalidae	50.250	8.130	36.030	5.530	4.370	0.000	0.000
Olyridae	49.600	4.733	6.767	0.000	0.000	2.967	2.533
Omosudidae	166.000	26.933	13.167	0.000	0.000	0.000	0.000
Oneirodidae	93.800	63.500	41.800	3.800	7.600	0.000	0.000
Ophichthidae	528.333	34.167	24.667	0.000	0.000	0.000	0.000
Ophidiidae	81.900	8.300	4.500	2.500	2.500	0.000	0.000
Opistognathidae	166.000	45.400	21.800	32.400	20.050	0.000	0.000
Oplegnathidae	106.230	61.800	18.870	19.100	19.870	0.000	0.000
Oreosomatidae	87.200	65.000	15.850	8.150	3.600	0.000	0.000
Osmeridae	190.000	29.600	17.367	0.000	0.000	0.000	0.000
Osphronemidae	52.000	18.650	8.680	4.780	4.550	0.000	0.000
Osteoglossidae	266.333	43.700	23.533	0.000	0.000	0.000	0.000
Ostraciidae	87.600	45.500	31.530	14.220	10.200	0.000	0.000
Ostracoberycidae	96.700	38.030	26.700	15.770	9.770	0.000	0.000
Pangasiidae	223.667	47.433	27.633	36.533	0.000	34.233	35.333
Pantodontidae	60.000	18.367	12.300	0.000	0.000	0.000	0.000
Paralepididae	287.667	24.533	10.467	0.000	0.000	0.000	0.000
Paralichthyidae	137.450	54.430	9.730	16.570	15.500	0.000	0.000
Paraulopidae	236.000	33.800	38.200	0.000	0.000	0.000	0.000
Pataecidae	160.300	53.200	18.170	55.030	13.900	0.000	0.000
Pegasidae	90.870	5.970	16.400	11.430	9.000	0.000	0.000
Pempheridae	107.130	45.970	13.970	20.870	7.530	0.000	0.000
Pentacerotidae	120.300	81.900	18.000	76.200	32.500	0.000	0.000
Percichthyidae	81.430	22.670	14.230	11.830	9.970	0.000	0.000
Percidae	66.820	16.000	9.520	8.870	7.850	0.000	0.000
Percophidae	163.530	17.100	24.600	13.600	13.630	0.000	0.000
Percopsidae	80.080	16.750	11.320	14.650	5.850	0.000	0.000
Peristediidae	118.850	21.250	16.770	16.500	12.350	0.000	0.000
Pholidae	91.430	10.930	4.900	2.430	2.500	0.000	0.000
Pholidichthyidae	233.950	21.100	14.950	16.250	21.900	0.000	0.000
Phosichthyidae	224.333	34.400	15.867	0.000	0.000	0.000	0.000
Phycidae	54.700	10.780	6.920	3.770	5.420	0.000	0.000
Pimelodidae	216.000	44.967	41.300	40.033	0.000	38.200	36.300
Pinguipedidae	102.150	16.300	17.900	10.550	8.450	0.000	0.000
Platycephalidae	99.950	9.600	20.300	10.200	5.150	0.000	0.000
Platytroctidae	88.333	15.900	11.333	0.000	0.000	0.000	0.000
Plecoglossidae	175.667	42.267	20.167	0.000	0.000	0.000	0.000
Plesiopidae	43.800	13.380	8.270	7.620	9.920	0.000	0.000
Pleuronectidae	101.620	41.020	9.980	10.980	10.930	0.000	0.000
Plotosidae	347.667	38.767	51.200	25.533	0.000	26.900	25.433
Poeciliidae	43.930	12.530	9.330	6.030	6.470	0.000	0.000
Polymixiidae	101.600	35.470	13.670	11.870	11.200	0.000	0.000
Polynemidae	103.050	31.780	12.150	20.380	9.950	0.000	0.000
Polyprionidae	219.000	79.250	37.000	37.700	15.950	0.000	0.000
Pomacanthidae	145.500	50.300	24.200	21.900	21.600	0.000	0.000
Pomacentridae	116.730	66.120	26.230	17.370	14.930	0.000	0.000
Pomatomidae	143.170	41.870	20.200	8.830	0.000	0.000	0.000
Priacanthidae	159.150	59.500	24.700	19.200	16.550	0.000	0.000
Pristigasteridae	188.000	62.433	20.633	0.000	0.000	0.000	0.000
Prochilodontidae	231.333	69.367	34.333	0.000	0.000	0.000	0.000
Profundulidae	62.100	15.830	11.770	7.930	7.900	0.000	0.000
Psettodidae	143.130	59.100	13.870	12.900	14.300	0.000	0.000
Pseudochromidae	163.000	15.500	7.300	7.400	6.600	0.000	0.000
Pseudopimelodidae	178.667	35.000	47.367	21.067	0.000	23.700	22.567
Psilorhynchidae	59.333	12.033	9.833	0.000	0.000	0.000	0.000
Psychrolutidae	124.300	36.600	28.050	12.500	8.500	0.000	0.000
Ptereleotridae	78.700	12.400	9.500	9.600	8.600	0.000	0.000
Ptilichthyidae	252.500	8.000	4.000	1.000	1.000	0.000	0.000
Rachycentridae	162.670	22.530	21.300	2.500	12.200	0.000	0.000
Retropinnidae	142.667	31.467	15.733	0.000	0.000	0.000	0.000
Rhamphocottidae	52.430	25.600	26.270	4.270	7.130	0.000	0.000
Rhyacichthyidae	155.200	29.000	37.930	19.800	22.170	0.000	0.000
Rivulidae	49.050	9.500	8.100	7.200	4.350	0.000	0.000
Salangidae	115.000	6.700	5.867	0.000	0.000	0.000	0.000
Salmonidae	277.667	63.500	30.333	0.000	0.000	0.000	0.000
Samaridae	104.450	38.050	4.900	72.350	26.200	0.000	0.000
Scaridae	166.670	55.270	24.930	18.830	15.100	0.000	0.000
Scatophagidae	100.600	68.200	20.300	23.250	13.150	0.000	0.000
Schilbeidae	163.667	42.533	24.033	25.600	0.000	26.400	25.900
Sciaenidae	146.000	46.470	27.730	14.470	17.870	0.000	0.000
Scomberesocidae	81.500	10.830	3.650	4.650	4.450	0.000	0.000
Scombridae	298.000	75.000	50.700	42.750	12.000	0.000	0.000
Scombrolabracidae	132.500	30.000	19.800	10.000	11.100	0.000	0.000
Scopelarchidae	106.500	16.350	8.500	0.000	0.000	0.000	0.000
Scophthalmidae	40.700	25.370	3.770	5.770	4.870	0.000	0.000
Scorpaenidae	205.000	72.300	54.200	33.500	37.200	0.000	0.000
Serranidae	183.000	59.630	28.700	28.050	20.950	0.000	0.000
Serrivomeridae	512.333	12.433	9.433	0.000	0.000	0.000	0.000
Siganidae	102.570	53.130	13.600	15.770	18.070	0.000	0.000
Sillaginidae	120.520	22.030	16.070	19.870	9.930	0.000	0.000
Siluridae	255.333	44.200	41.333	0.000	0.000	19.433	18.767
Sisoridae	211.667	42.067	50.267	27.200	0.000	32.733	36.033
Soleidae	79.700	42.730	6.730	5.600	5.570	0.000	0.000
Sparidae	83.550	39.000	12.180	11.670	9.600	0.000	0.000
Sphyraenidae	201.330	28.730	18.930	18.220	24.450	0.000	0.000
Sternoptychidae	61.200	31.600	9.700	0.000	0.000	0.000	0.000
Sternopygidae	386.667	44.533	17.767	0.000	0.000	0.000	0.000
Stichaeidae	91.380	11.400	7.080	2.470	2.420	0.000	0.000
Stomiidae	176.667	13.967	8.233	0.000	0.000	0.000	0.000
Stromateidae	108.500	81.050	17.150	27.600	36.100	0.000	0.000
Synaphobranchidae	508.667	42.733	30.533	0.000	0.000	0.000	0.000
Synbranchidae	347.300	15.000	12.900	0.000	0.000	0.000	0.000
Syngnathidae	172.000	6.030	5.730	2.520	0.000	0.000	0.000
Synodontidae	179.667	20.000	23.100	0.000	0.000	0.000	0.000
Terapontidae	88.570	34.950	16.320	16.700	9.950	0.000	0.000
Tetragonuridae	221.500	33.350	19.300	12.000	12.600	0.000	0.000
Tetraodontidae	56.220	24.870	15.380	6.250	7.200	0.000	0.000
Toxotidae	123.100	55.680	23.780	22.320	15.480	0.000	0.000
Trachinidae	140.220	27.600	14.800	12.300	8.400	0.000	0.000
Trachipteridae	219.000	29.300	3.200	46.850	0.000	0.000	0.000
Triacanthidae	187.000	61.120	22.880	34.400	15.800	0.000	0.000
Trichiuridae	411.670	31.670	9.230	16.030	0.500	0.000	0.000
Trichodontidae	120.030	35.870	15.930	11.670	10.330	0.000	0.000
Trichomycteridae	108.667	20.233	22.567	0.000	0.000	0.000	0.000
Triglidae	72.620	16.470	11.080	11.070	8.100	0.000	0.000
Umbridae	140.000	33.167	27.533	0.000	0.000	0.000	0.000
Uranoscopidae	67.150	17.930	16.600	10.500	8.350	0.000	0.000
Valenciidae	71.750	19.350	13.150	9.800	10.350	0.000	0.000
Zanclidae	81.550	64.620	11.900	40.100	11.750	0.000	0.000
Zaproridae	133.500	40.400	20.900	16.900	16.600	0.000	0.000
Zeidae	79.100	57.270	8.070	31.930	8.330	0.000	0.000
Zoarcidae	148.480	15.450	9.150	8.200	6.900	0.000	0.000
