Genus name,Species name,Group,Age (in Mya),Envronement (terrestrial/aquatic),Site,Source (theirs),Source (mine if additional,Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes
Ishnacanthus,gracilis,Acanthodii,Lochkovian,,,Denison 1979,,16,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Podoliacanthus,zychi,Acanthodii,Lochkovian-Pragian,,,Voichyshyn & Szaniawski 2012,,16,,,?,?,?,?,?,?,?,?,?,?,?,?,This guy is just a dentigerous jaw bone-RPD
Rhadinacanthus,longispinus,Acanthodii,Eifelian-Givetian,,,Frickhinger 1991,,16,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Diplacanthus,tenuistriatus,Acanthodii,Eifelian-Givetian,,,Denison 1979,,19,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Cheiracanthus,latus,Acanthodii,Eifelian-Givetian,,,Denison 1979,,19,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Howittacanthus,kentoni,Acanthodii,Givetian,,,Long 1986,,19,,,No,NA,NA,NA,Yes,No,No,Fin spines,No,NA,NA,NA,
Diplacanthus,longispinus,Acanthodii,Givetian,,,Denison 1979,Burrow et al 2016,22,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,This is actually Rhadinacanthus longispinus (Burrow 2016) -RPD
Milesacanthus,antarctica,Acanthodii,Givetian,,,Young & Burrow 2004,,22,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Acanthodes,wardi,Acanthodii,Serpukhovian,,,Denison 1979,,25,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Ptomacanthus,anglicus,Acanthodii,Lochkovian,,Wayne Herbert,Denison 1979,,30,,,No,NA,NA,NA,Yes,Yes,Yes,Fin spines and hefty armoured shoulder girdle,No,NA,NA,NA,
Cheiracanthus,murchisoni,Acanthodii,Eifelian-Givetian,,,Denison 1979,,30,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Acanthodes,dublinensis,Acanthodii,Famennian,,,Denison 1979,,30,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Acanthodes,australis,Acanthodii,Tournaisian,,,Beznosov 2009,,30,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Acanthodes,nitidus,Acanthodii,Visean,,,Watson 1937,,30,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Acanthodes,sulcatus,Acanthodii,Visean-Serpukhovian,,,Watson 1937,,30,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
Undichna,septesmsulcata,Acanthodii,Pragian,,,Wisshak et al. 2004,,34,,,?,?,?,?,?,?,?,?,?,?,?,?,This is a feeding trace fossil - don't think we should include -RPD
Acanthodes,lundi,Acanthodii,Serpukhovian,,,Zidek 1980,,40,,,No,NA,NA,NA,Yes,Yes,No,Fin spines,No,NA,NA,NA,
