Genus name,Species name,Group,Age (in Mya),Envronement (terrestrial/aquatic),Site,Source (theirs),Source (mine if additional,Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes
Rainerichthys,zangerli,Chondrichthyes,Serpukhovian,,,Grogan & Lund 2009,,12.89,,,,,,,,,,,,,,,
Onychoselache,traquairi,Chondrichthyes,Visean-Serpukhovian,Marine,Glencartholm,Zangerl 1981,Coates and Gess (2007),15,,Smaller things,Yes,Yes,No,Cephalic spines ,Yes,Yes,No,Dorsal fin spines,No,-,-,-,NA
Squatinactis,caudispinatus,Chondrichthyes,Serpukhovian,,,Zangerl 1981,,15,,,,,,,,,,,,,,,
COCH 1,sp.,Chondrichthyes,Serpukhovian,,,Stahl 1999,,15,,,,,,,,,,,,,,,
Plesiosclachus,macracanthus,Chondrichthyes,Famennian,,,Coates & Gess 2007,,16,,,,,,,,,,,,,,,
Chondrenchelys,problematica,Chondrichthyes,Visean,Marine,Glencartholm,Coates Pers. Comm,Finarelli and Coates (2014) ,17,,Durophagous,No,-,-,-,No,-,-,-,No,-,-,-,NA
Harpagofugator,volsellorhinus,Chondrichthyes,Serpukhovian,Marine,Bear Gulch,Lund 1982,,17,,Durophagous,Yes,Yes,No,Likely sexually selected denticulated appendages only present in male,No,-,-,-,No,-,-,-,"Figured fish are 10cm long, but description says grows up to 170mm - which to choose?"
Harpacanthus,fimbriatus,Chondrichthyes,Serpukhovian,Marine,Bear Gulch,Lund & Grogan 2005,,20,,Durophagous,Yes,Yes,No,Denticulated wafty things - probably sexually selected as abent in female,No,-,-,-,No,-,-,-,NA
Stensioella,heintzi,Chondrichthyes,Pragian-Emsian,,,Bartels et al. 1998,,22,,,,,,,,,,,,,,,
Doliodus,problematicus,Chondrichthyes,Emsian,,,Miller et al. 2003,Maisey et al (2017),23,,Smaller things ,No,-,-,-,Yes,Yes,No,Fin spines - paired and unpaired,No,-,-,-,
Stichacanthus,coemansi,Chondrichthyes,Visean,,,Stahl 1999,,25,,,,,,,,,,,,,,,
Janassa,bituminosa,Chondrichthyes,Serpukhovian,,,Frickhinger 1991,,26,,,,,,,,,,,,,,,
Cladoselache,desmopterygius,Chondrichthyes,Frasnian,,,Hussakof and Bryant 1918,,29,,,,,,,,,,,,,,,
Falcatus,falcatus,Chondrichthyes,Tournaisian-Serpukhovian,Marine,Bear Gulch,Lund and Grogan 2005,,30,,Small things,No,-,-,-,Yes,Yes,No,Fin thing - probs dimorphic,No,-,-,-,NA
Debeerius,ellefseni,Chondrichthyes,Serpukhovian,Marine,Bear Gulch,Lund & Grogan 2005,,30,,Small things,No,No,No,-,Yes,Yes,No,Fin spine,No,No,No,-,NA
Traquairius,spinosus,Chondrichthyes,Serpukhovian,,,Lund & Grogan 2005,,30,,,,,,,,,,,,,,,
Cladoselache,fyleri,Chondrichthyes,Frasnian,,,Hussakof and Bryant 1918,,39,,,,,,,,,,,,,,,
Antarctilamna,sp.,Chondrichthyes,Pragian-Emsian,,,Long 2011,,40,,,,,,,,,,,,,,,
Diademodus,hydei,Chondrichthyes,Famennian,,,Harris 1951,,40,,,,,,,,,,,,,,,
Helodus,coniculus,Chondrichthyes,Tournaisian,,,Vorobyeva & Obruchev 1967,,45,,,,,,,,,,,,,,,
Helodus,turgidus,Chondrichthyes,Visean,,,Stahl 1999,,45,,,,,,,,,,,,,,,
Helodus,simplex,Chondrichthyes,Serpukhovian,,,Stahl 1999,,45,,,,,,,,,,,,,,,
Traquairius,agkistrocephalus,Chondrichthyes,Serpukhovian,,,Lund & Grogan 2005,,46,,,,,,,,,,,,,,,
Tristychius,arcuatus,Chondrichthyes,Tournaisian-Serpukhovian,,,Zangerl 1981,,50,,,,,,,,,,,,,,,
Denaea,sp.,Chondrichthyes,Tournaisian-Serpukhovian,,,Zangerl 1981,,50,,,,,,,,,,,,,,,
Deltoptychius,sp.,Chondrichthyes,Serpukhovian,,,Frickhinger 1991,,50,,,,,,,,,,,,,,,
Damocles,serratus,Chondrichthyes,Serpukhovian,Marine,Bear Gulch,Lund & Grogan 2005,,60,,Small things,Yes,Yes,No,Probs sexually selected - match up with big fin thing,Yes,Yes,No,Big handlething with denticles,No,-,-,-,Length taken from longest articulated speciemen
Squatinactis,montanus,Chondrichthyes,Serpukhovian,Marine,Bear Gulch,Lund & Grogan 2005,,60,,Small things,No,-,-,-,No,-,-,-,No,-,-,-,NA
Akmoniston,zangerli,Chondrichthyes,Serpukhovian,,,Coates & Sequiera 2001,,65,,,,,,,,,,,,,,,
Cladoselache,brachypterygius,Chondrichthyes,Frasnian,,,Hussakof and Bryant 1918,,69,,,,,,,,,,,,,,,
Stethacanthus,sp.,Chondrichthyes,Famennian,,,Zhao & Zhu 2010,,70,,,,,,,,,,,,,,,
Wodnika?,triangularis,Chondrichthyes,Tournaisian,,,Zangerl 1981,,80,,,,,,,,,,,,,,,
Ctenacanthus,costellatus,Chondrichthyes,Visean,,,Zangerl 1981,,90,,,,,,,,,,,,,,,
Thrinacoselache,gracia,Chondrichthyes,Serpukhovian,,,Grogan & Lund 2008,,90,,,,,,,,,,,,,,,
Gutturensis,nielsoni,Chondrichthyes,Serpukhovian,,,Sequeira and Coates 2000,,135,,,,,,,,,,,,,,,
Ctenacanthus,altoensis,Chondrichthyes,Tournaisian,,,"Lund and Grogan, 2005",,150,,,,,,,,,,,,,,,
Stethacanthus,altonensis,Chondrichthyes,Visean-Serpukhovian,,,Lund & Grogan 2005,,150,,,,,,,,,,,,,,,
Cladoselache,kepleri,Chondrichthyes,Frasnian,,,Hussakof and Bryant 1918,,160,,,,,,,,,,,,,,,
Stethacanthus,productus,Chondrichthyes,Serpukhovian,,,Lund & Grogan 2005,,270,,,,,,,,,,,,,,,
Microbranchius,dicki,Placodermi,Givetian,,,Frickhinger 1991,,6,,,,,,,,,,,,,,,
Ptyctodopsis,menzeli,Placodermi,Givetian,,,Denison 1985,,7,,,,,,,,,,,,,,,
Placolepis,budawangensis,Placodermi,Frasnian,,,Young et al. 2000,,8.3,,,,,,,,,,,,,,,
Rhamphodopsis,threiplandi,Placodermi,Eifelian-Frasnian,,,Dineley 1999,,8.8,,,,,,,,,,,,,,,
Chelyophorous,verneuli,Placodermi,Famennian,,,Denison 1978,,10,,,,,,,,,,,,,,,
Cowralepis,mclachlani,Placodermi,Givetian,,,Carr et al. 1990,,10.5,,,,,,,,,,,,,,,
Ningxialepis,spinosa,Placodermi,Famennian,,,Jia et al. 2010,,11.5,,,,,,,,,,,,,,,
Kujdanwiaspis,podolica,Placodermi,Lochkovian-Pragian,,,Dupret et al. 2011,,15,,,,,,,,,,,,,,,
Lunaspis,heroldi,Placodermi,Pragian,,,Bartels et al. 1998,,15,,,,,,,,,,,,,,,
Ctenurella,gladbachensis,Placodermi,Frasnian,,,Denison 1978,,18,,,,,,,,,,,,,,,
Materpiscis,attenboroughi,Placodermi,Frasnian,,,Long et al. 2009,,18.7,,,,,,,,,,,,,,,
Groenlandaspis,sp.,Placodermi,Emsian-Eifelian,,,Dineley 1999,,25,,,,,,,,,,,,,,,
Byssacanthus,dilatatus,Placodermi,Eifelian-Frasnian,,,Denison 1978,,30,,,,,,,,,,,,,,,
Coccosteus,sp.,Placodermi,Emsian,,,Frickhinger 1991,,40,,,,,,,,,,,,,,,
Coccosteus,cuspidatus,Placodermi,Eifelian-Givetian,,,Denison 1978,,40,,,,,,,,,,,,,,,
Asterolepis,scabra,Placodermi,Givetian,,,Denison 1978,,40,,,,,,,,,,,,,,,
Lunaspis,broilii,Placodermi,Pragian,,,Bartels et al. 1998,,45,,,,,,,,,,,,,,,
Dickosteus,threiplandi,Placodermi,Eifelian-Givetian,,,Denison 1978,,50,,,,,,,,,,,,,,,
Watsonosteus,fletti,Placodermi,Givetian-Frasnian,,,Frickhinger 1991,,58,,,,,,,,,,,,,,,
Livnolepis,zadonica,Placodermi,Famennian,,,Moloshnikov 2008,,80,,,,,,,,,,,,,,,
Gemuendina,stuertzi,Placodermi,Pragian,,,Bartels et al. 1998,,100,,,,,,,,,,,,,,,
Tityosteus,rieversi,Placodermi,Pragian,,,Bartels et al. 1998,,200,,,,,,,,,,,,,,,
Heterosteus,asmussi,Placodermi,Eifelian,,,Denison 1978,,600,,,,,,,,,,,,,,,
Dunkleosteus,terrelli,Placodermi,Famennian,,,Denison 1978,,800,,,,,,,,,,,,,,,
Coelacanthopsis,curta,Sarcopterygii,Visean,,,Frickhinger 1991,,9,,,,,,,,,,,,,,,
Chagrinia,sp.,Sarcopterygii,Famennian,,,Frickhinger 1991,,10,,,,,,,,,,,,,,,
Lochmocerceus,aciculodontus,Sarcopterygii,Serpukhovian,,,Lund & Lund 1984,,10,,,,,,,,,,,,,,,
Rhabdoderma,ardrossense,Sarcopterygii,Visean,,,Forey 1981,,11.7,,,,,,,,,,,,,,,
Thursius,macrolepidotus,Sarcopterygii,Eifelian,,,Dineley 1999,,12,,,,,,,,,,,,,,,
Pentlandia,macroptera,Sarcopterygii,Givetian,,,Frickhinger 1991,,12,,,,,,,,,,,,,,,
Hadronector,donbairdi,Sarcopterygii,Serpukhovian,,,Lund & Grogan 2005,,12,,,,,,,,,,,,,,,
Allenypterus,montanus,Sarcopterygii,Serpukhovian,,,Lund & Grogan 2005,,15,,,,,,,,,,,,,,,
Polyosterohynchus,beargulchensis,Sarcopterygii,Serpukhovian,,,Lund & Grogan 2005,,15,,,,,,,,,,,,,,,
Rhabdoderma,huxleyi,Sarcopterygii,Visean-Serpukhovian,,,Forey 1981,,16,,,,,,,,,,,,,,,
Osteolepis,macrolepidotus,Sarcopterygii,Eifelian-Givetian,,,Frickhinger 1991,,18,,,,,,,,,,,,,,,
Rhabdoderma,elegans,Sarcopterygii,Visean-Serpukhovian,,,Forey 1981,,18,,,,,,,,,,,,,,,
Osteolepidid,indet.,Sarcopterygii,Famennian,,,Schultze & Chorn 1998,,18.8,,,,,,,,,,,,,,,
Thursius,pholidotus,Sarcopterygii,Givetian,,,Frickhinger 1991,,19,,,,,,,,,,,,,,,
Coelacanthus,welleri,Sarcopterygii,Tournaisian-Visean,,,Eastman 1908,,19,,,,,,,,,,,,,,,
Bukkanodus,jesseni,Sarcopterygii,Pragian,,,Long 2011,,20,,,,,,,,,,,,,,,
Porolepis,brevis,Sarcopterygii,Eifelian,,,Frickhinger 1991,,20,,,,,,,,,,,,,,,
Soederberghia,simpsoni,Sarcopterygii,Frasnian,,,Ahlberg et al. 2001,,21,,,,,,,,,,,,,,,
Rhabdoderma,sp.,Sarcopterygii,Tournaisian,,,Dineley 1996,,22,,,,,,,,,,,,,,,
Caridosuctor,populosum,Sarcopterygii,Serpukhovian,,,Lund & Grogan 2005,,25,,,,,,,,,,,,,,,
Diplocerides,jaekeli,Sarcopterygii,Frasnian,,,Stensio 1922,,26,,,,,,,,,,,,,,,
Glyptopomus,kinnairdi,Sarcopterygii,Famennian,,,Vorobyeva & Obruchev 1967,,27,,,,,,,,,,,,,,,
Megalichthys,laticeps,Sarcopterygii,Visean,,,Traquair 1884,,27,,,,,,,,,,,,,,,
Tristichopterus,alatus,Sarcopterygii,Givetian,,,Frickhinger 1991,,28,,,,,,,,,,,,,,,
Holopterygius,nudus,Sarcopterygii,Frasnian,,,Friedman & Coates 2006,,28,,,,,,,,,,,,,,,
Uranolophus,wyomingensis,Sarcopterygii,Pragian-Emsian,,,Frickhinger 1991,,30,,,,,,,,,,,,,,,
Dipterus,valenciennessii,Sarcopterygii,Eifelian-Frasnian,,,Frickhinger 1991,,30,,,,,,,,,,,,,,,
Gyroptychius,agassizi,Sarcopterygii,Eifelian-Givetian,,,Frickhinger 1991,,30,,,,,,,,,,,,,,,
Pinnalongus,saxoni,Sarcopterygii,Eifelian-Givetian,,,Newman & Den Blaauwen 2007,,30,,,,,,,,,,,,,,,
Rhizodopsis,sauroides,Sarcopterygii,Serpukhovian,,,Moy-Thomas 1971,,30,,,,,,,,,,,,,,,
Phaneropleuron,andersoni,Sarcopterygii,Famennian,,,Frickhinger 1991,,33,,,,,,,,,,,,,,,
Xeradipterus,hatcheri,Sarcopterygii,Frasnian,,,Clement & Long 2010,,35,,,,,,,,,,,,,,,
Sterropterygion,brandei,Sarcopterygii,Famennian,,,Thomson 1972,,38,,,,,,,,,,,,,,,
Chirodipterus,australis,Sarcopterygii,Frasnian,,,Bernacsek & Carroll 1981,,40.8,,,,,,,,,,,,,,,
Fleurantia,denticulata,Sarcopterygii,Frasnian,,,Cloutier 1996,,42,,,,,,,,,,,,,,,
Eusthenodon,waengsjoei,Sarcopterygii,Famennian,,,Schultze & Chorn 1998,,43,,,,,,,,,,,,,,,
Rhabdoderma,tingleyense,Sarcopterygii,Visean,,,Forey 1981,,45,,,,,,,,,,,,,,,
Youngolepis,sp.,Sarcopterygii,Lochkovian,,,Long 2011,,50,,,,,,,,,,,,,,,
Powichthys,sp.,Sarcopterygii,Lochkovian,,,Long 2011,,50,,,,,,,,,,,,,,,
Rhynchodipterus,elginensis,Sarcopterygii,Famennian,,,Ahlberg et al. 2001,,50,,,,,,,,,,,,,,,
Dipnorhynchus,sussmilchi,Sarcopterygii,Emsian,,,Bernacsek & Carroll 1981,,57.8,,,,,,,,,,,,,,,
Eusthenopteron,foordi,Sarcopterygii,Frasnian,,,Frickhinger 1991,,60,,,,,,,,,,,,,,,
Iranorhynchus,seysdemamii,Sarcopterygii,Frasnian,,,Janvier & Martin 1979,,60,,,,,,,,,,,,,,,
Asthenorhynchus,meemanae,Sarcopterygii,Frasnian,,,Long 2010,,60,,,,,,,,,,,,,,,
Glyptopomus,minor,Sarcopterygii,Famennian,,,Vorobyeva & Obruchev 1967,,60,,,,,,,,,,,,,,,
Glyptolepis,paucidens,Sarcopterygii,Eifelian-Givetian,,,Frickhinger 1991,,62,,,,,,,,,,,,,,,
Scaumenacia,curta,Sarcopterygii,Frasnian,,,Frickhinger 1991,,64.6,,,,,,,,,,,,,,,
Qingmenodus,yui,Sarcopterygii,Pragian,,,Long 2011,,70,,,,,,,,,,,,,,,
Cabonnichthys,bursi,Sarcopterygii,Famennian,,,Ahlberg & Johanson 1997,,74,,,,,,,,,,,,,,,
Griphognathus,whitei,Sarcopterygii,Frasnian,,,Campbell & Barwick 1986,,75,,,,,,,,,,,,,,,
Langlieria,socqueti,Sarcopterygii,Famennian,,,Clement et al. 2009,,79,,,,,,,,,,,,,,,
Apatorhynchus,opistheretmus,Sarcopterygii,Famennian,,,Friedman & Daeschler 2007,,80,,,,,,,,,,,,,,,
Gooloogongia,loomesi,Sarcopterygii,Famennian,,,Johanson & Ahlberg 1998,,89,,,,,,,,,,,,,,,
Holoptychius,hallii,Sarcopterygii,Famennian,,,Downs et al. 2013,,90,,,,,,,,,,,,,,,
Onychodus,jandemmarrai,Sarcopterygii,Frasnian,,,Andrews et al. 2006,,95,,,,,,,,,,,,,,,
Sunwapta,grandiceps,Sarcopterygii,Famennian,,,Thomson 1967,,100,,,,,,,,,,,,,,,
Screbinodus,ornatus,Sarcopterygii,Visean-Serpukhovian,,,Jeffery 2012,,150,,,,,,,,,,,,,,,
Mandageria,fairfaxi,Sarcopterygii,Famennian,,,Johanson et al. 2003,,160,,,,,,,,,,,,,,,
Panderichthys,rhombolepis,Sarcopterygii,Frasnian,,,Vorobyeva & Obruchev 1967,,200,,,,,,,,,,,,,,,
Edenopteron,kiethcrooki,Sarcopterygii,Famennian,,,Young et al. 2013,,250,,,,,,,,,,,,,,,
Platycephalichthys,bischoffi,Sarcopterygii,Frasnian,,,Vorobyeva & Obruchev 1967,,400,,,,,,,,,,,,,,,
Unnamed,sp.,Sarcopterygii,Serpukhovian,,,Garcia et al. 2006,,400,,,,,,,,,,,,,,,
Utaherpeton,franklini,Tetrapoda,Serpukhovian,,,Carroll et al. 1991,,5,,,,,,,,,,,,,,,
Casineria,kiddi,Tetrapoda,Visean,,,Paton et al. 1999,,10,,,,,,,,,,,,,,,
Acherontiscus,caledoniae,Tetrapoda,Visean-Serpukhovian,,,Carroll 1969,,16,,,,,,,,,,,,,,,
Westlothiana,lizzae,Tetrapoda,Visean,,,Clack 2002,,20,,,,,,,,,,,,,,,
Loxomma,sp.,Tetrapoda,Visean-Serpukhovian,,,Clack 2002,,27,,,,,,,,,,,,,,,
Caerorhachis,bairdi,Tetrapoda,Serpukhovian,,,Holmes & Carroll 1977,,30,,,,,,,,,,,,,,,
Eldeceeon,rolfei,Tetrapoda,Visean,,,Clack 2002,,35,,,,,,,,,,,,,,,
Silvanerpeton,miripedes,Tetrapoda,Visean,,,Clack 2002,,40,,,,,,,,,,,,,,,
Balanerpeton,woodi,Tetrapoda,Visean,,,Clack 2002,,50,,,,,,,,,,,,,,,
Adelogyrinus,sp.,Tetrapoda,Serpukhovian,,,Clack 2002,,50,,,,,,,,,,,,,,,
Colosteid,indet.,Tetrapoda,Serpukhovian,,,Garcia et al. 2006,,60,,,,,,,,,,,,,,,
Pederpes,finneyae,Tetrapoda,Tournaisian,,,Clack & Finney 2005,,65,,,,,,,,,,,,,,,
Whatcheeria,deltae,Tetrapoda,Visean,,,Lombard & Bolt 1995,,100,,,,,,,,,,,,,,,
Greererpeton,burkemorani,Tetrapoda,Visean-Serpukhovian,,,Godfrey 1989,,140,,,,,,,,,,,,,,,
Crassigyrinus,scoticus,Tetrapoda,Visean-Serpukhovian,,,Panchen 1985,,180,,,,,,,,,,,,,,,
Proterogyrinus,sp.,Tetrapoda,Serpukhovian,,,Clack 2002,,250,,,,,,,,,,,,,,,
