Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Byssacanthus_dilatatus,Placodermi,Eifelian-Frasnian,,,,,30,,Denison 1978,,,,,,,,,,,,,,,,
Asterolepis_estonica,Placodermi,Eifelian,,,,,50,,Denison 1978,,,,,,,,,,,,,,,,
Homosteus_sp.,Placodermi,Eifelian,,,,,120,,Dineley 1999,,,,,,,,,,,,,,,,
Homosteus_milleri,Placodermi,Eifelian,,,,,170,,Denison 1978,,,,,,,,,,,,,,,,
Homosteus_sulcatus,Placodermi,Eifelian,,,,,21,,Mark-Kurik 1993,,,,,,,,,,,,,,,,
Actinolepis_magna,Placodermi,Eifelian-Givetian,,,,,99,,Denison 1978,,,,,,,,,,,,,,,,
Actinolepis_tuberculata,Placodermi,Eifelian-Givetian,,,,,56,,Denison 1978,,,,,,,,,,,,,,,,
Actinolepis_sp.,Placodermi,Eifelian,,,,,34,,Newman & Trewin 2008,,,,,,,,,,,,,,,,
Hybosteus_mirabilis,Placodermi,Eifelian-Givetian,,,,,97,,Denison 1978,,,,,,,,,,,,,,,,
Luetkeichthys_borealis,Placodermi,Eifelian,,,,,100,,Denison 1978,,,,,,,,,,,,,,,,
Wijdeaspis_arctica,Placodermi,Eifelian,,,,,33,,Denison 1978; Young 1978,,,,,,,,,,,,,,,,
Heterosteus_asmussi,Placodermi,Eifelian,,,,,600,,Denison 1978,,,,,,,,,,,,,,,,
Dickosteus_threiplandi,Placodermi,Eifelian-Givetian,,,,,50,,Denison 1978,,,,,,,,,,,,,,,,
Carolowilhemina_geognostica,Placodermi,Eifelian,,,,,300,,Mark-Kurik & Carls 2002,,,,,,,,,,,,,,,,
Pterichthyodes_milleri,Placodermi,Eifelian-Givetian,,,,,25,,Denison 1978,,,,,,,,,,,,,,,,
Rhamphodopsis_threiplandi,Placodermi,Eifelian-Frasnian,,,,,8.8,,Dineley 1999,,,,,,,,,,,,,,,,
Goniosteus_gerolsteinensis,Placodermi,Eifelian-Givetian,,,,,35,,Denison 1978,,,,,,,,,,,,,,,,
Wurungulepis_denisoni,Placodermi,Eifelian,,,,,36,,Young 1990,,,,,,,,,,,,,,,,
Palaeospondylus_gunni,Placodermi,Eifelian-Givetian,,,,,29,,Sollas & Sollas 1904,,,,,,,,,,,,,,,,
Bothriolepis_sinensis,Placodermi,Eifelian-Givetian,,,,,20,,Zhang 1965,,,,,,,,,,,,,,,,
Bothriolepis_niushoushanensis,Placodermi,Eifelian,,,,,33,,Zhao & Zhu 2010,,,,,,,,,,,,,,,,
Hunanolepis_xiui,Placodermi,Eifelian,,,,,50,,Zhao & Zhu 2010,,,,,,,,,,,,,,,,
Yangaspis_jinningensis,Placodermi,Eifelian-Givetian,,,,,160,,Lin & Wang 1981,,,,,,,,,,,,,,,,
Quasipetalichthys_haikouensis,Placodermi,Eifelian-Givetian,,,,,58,,Denison 1978,,,,,,,,,,,,,,,,
Guangxipetalichthys_tiaomajianensis,Placodermi,Eifelian,,,,,18,,Ji & Pan 1997,,,,,,,,,,,,,,,,
Guangxipetalichthys_bobaiensis,Placodermi,Eifelian,,,,,28,,Ji & Pan 1997,,,,,,,,,,,,,,,,
Dianolepis_liui,Placodermi,Eifelian-Givetian,,,,,50,,Zhang 1965,,,,,,,,,,,,,,,,
Thursius_wudingensis,Placodermi,Eifelian,,,,,29,,Fan 1992,,,,,,,,,,,,,,,,
Microbranchius_sinensis,Placodermi,Eifelian,,,,,5,,Pan 1984,,,,,,,,,,,,,,,,
Desmoporella_minor,Placodermi,Givetian,,,,,15,,Denison 1978,,,,,,,,,,,,,,,,
Palaeomylus_greenei,Placodermi,Givetian,,,,,230,,Denison 1978,,,,,,,,,,,,,,,,
Palaeomylus_fragens,Placodermi,Givetian,,,,,270,,Denison 1978,,,,,,,,,,,,,,,,
Ptyctodus_calceolus,Placodermi,Givetian,,,,,80,,Denison 1978,,,,,,,,,,,,,,,,
Ptyctodus_ferox,Placodermi,Givetian,,,,,250,,Denison 1978,,,,,,,,,,,,,,,,
Rhynchodus_excavatus,Placodermi,Givetian,,,,,80,,Denison 1978,,,,,,,,,,,,,,,,
Rhynchodus_rostratus,Placodermi,Givetian,,,,,96,,Denison 1978,,,,,,,,,,,,,,,,
Ellopetalichthys_scheii,Placodermi,Givetian,,,,,18,,Denison 1978,,,,,,,,,,,,,,,,
Deirosteus_omaliusii,Placodermi,Givetian-Famennian,,,,,200,,Wells 1942,,,,,,,,,,,,,,,,
Eastmanosteus_pustulosus,Placodermi,Givetian-Frasnian,,,,,170,,Denison 1978,,,,,,,,,,,,,,,,
Eastmanosteus_yunnanensis,Placodermi,Givetian,,,,,110,,Denison 1978,,,,,,,,,,,,,,,,
Holonema_farrowi,Placodermi,Givetian,,,,,96,,Denison 1978,,,,,,,,,,,,,,,,
Kiangyousteus_yohii,Placodermi,Givetian,,,,,120,,Denison 1978,,,,,,,,,,,,,,,,
