Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Bruenhopteron_murphyi,Sarcopterygii,Givetian,,,,,45,,Schultze & Reed 2012,,,,,,,,,,,,,,,,
Dipnotuberculus_gnathodus,Sarcopterygii,Givetian,,,,,100,,Campbell & Barwick 2008,,,,,,,,,,,,,,,,
Paraglyptolepis_karkiensis,Sarcopterygii,Givetian,,,,,19,,Vorobyeva 1987,,,,,,,,,,,,,,,,
Tristichopterid rhipidistian_indet.,Sarcopterygii,Givetian,,,,,50,,Schultze 2010,,,,,,,,,,,,,,,,
Chirodipterus_wildungensis,Sarcopterygii,Frasnian,,,,,36.7,,Bernacsek & Carroll 1981,,,,,,,,,,,,,,,,
Holodipterus_gogoensis,Sarcopterygii,Frasnian,,,,,41,,Frickhinger 1991,,,,,,,,,,,,,,,,
Pillararhynchus_longi,Sarcopterygii,Frasnian,,,,,25,,Campbell & Barwick 1009,,,,,,,,,,,,,,,,
Diplocerides_jaekeli,Sarcopterygii,Frasnian,,,,,26,,Stensio 1922,,,,,,,,,,,,,,,,
Eusthenopteron_foordi,Sarcopterygii,Frasnian,,,,,60,,Frickhinger 1991,,,,,,,,,,,,,,,,
Holoptychius_jarviki,Sarcopterygii,Frasnian,,,,,37.5,,Cloutier & Schultze 1996,,,,,,,,,,,,,,,,
Holoptychius_bergmanni,Sarcopterygii,Frasnian,,,,,73,,Vorobyeva and Obruchev 1967,,,,,,,,,,,,,,,,
Holoptychius_nobilissimus,Sarcopterygii,Frasnian-Famennian,,,,,73,,Downs et al. 2013,,,,,,,,,,,,,,,,
Holoptychius_sp.,Sarcopterygii,Frasnian,,,,,95,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Onychodus_firouzi,Sarcopterygii,Frasnian,,,,,98,,Janvier & Martin 1979,,,,,,,,,,,,,,,,
Onychodus_jandemmarrai,Sarcopterygii,Frasnian,,,,,95,,Andrews et al. 2006,,,,,,,,,,,,,,,,
Scaumenacia_curta,Sarcopterygii,Frasnian,,,,,64.6,,Frickhinger 1991,,,,,,,,,,,,,,,,
Fleurantia_denticulata,Sarcopterygii,Frasnian,,,,,42,,Cloutier 1996,,,,,,,,,,,,,,,,
Quebecius_quebecensis,Sarcopterygii,Frasnian,,,,,6,,Frickhinger 1991,,,,,,,,,,,,,,,,
Spodichthys_buetleri,Sarcopterygii,Frasnian,,,,,23,,Snitting 2008,,,,,,,,,,,,,,,,
Platycephalichthys_bischoffi,Sarcopterygii,Frasnian,,,,,400,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Jarvikina_wenjukowi,Sarcopterygii,Frasnian,,,,,95,,Vorobyeva 1977,,,,,,,,,,,,,,,,
Callistiopterus_clappi,Sarcopterygii,Frasnian,,,,,7,,Frickhinger 1991,,,,,,,,,,,,,,,,
Laccognathus_embryi,Sarcopterygii,Frasnian,,,,,62,,Downs et al. 2011,,,,,,,,,,,,,,,,
Sengoerichthys_ottomani,Sarcopterygii,Frasnian,,,,,24,,Janvier et al. 2007,,,,,,,,,,,,,,,,
Rhinodipterus_ulrichi,Sarcopterygii,Frasnian,,,,,24,,Schultze 1992,,,,,,,,,,,,,,,,
Holopterygius_nudus,Sarcopterygii,Frasnian,,,,,28,,Friedman & Coates 2006,,,,,,,,,,,,,,,,
Latvius_grewingki,Sarcopterygii,Frasnian,,,,,30,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Iranorhynchus_seysdemamii,Sarcopterygii,Frasnian,,,,,60,,Janvier & Martin 1979,,,,,,,,,,,,,,,,
Megistolepis_klementzi,Sarcopterygii,Frasnian,,,,,200,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Griphognathus_whitei,Sarcopterygii,Frasnian,,,,,75,,Campbell & Barwick 1986,,,,,,,,,,,,,,,,
Nesides_schmidti,Sarcopterygii,Frasnian,,,,,20,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Asthenorhynchus_meemanae,Sarcopterygii,Frasnian,,,,,60,,Long 2010,,,,,,,,,,,,,,,,
Xeradipterus_hatcheri,Sarcopterygii,Frasnian,,,,,35,,Clement & Long 2010,,,,,,,,,,,,,,,,
Chirodipterus_australis,Sarcopterygii,Frasnian,,,,,40.8,,Bernacsek & Carroll 1981,,,,,,,,,,,,,,,,
Marsdenichthys_longioccipitus,Sarcopterygii,Frasnian,,,,,58,,Long 1985b,,,,,,,,,,,,,,,,
Robinsondipterus_longi,Sarcopterygii,Frasnian,,,,,79,,Long 2010,,,,,,,,,,,,,,,,
Howidipterus_donnae,Sarcopterygii,Frasnian,,,,,43,,Long 1992,,,,,,,,,,,,,,,,
Eoctenodus_microsoma,Sarcopterygii,Frasnian,,,,,31,,Long 1987,,,,,,,,,,,,,,,,
Soederberghia_simpsoni,Sarcopterygii,Frasnian,,,,,21,,Ahlberg et al. 2001,,,,,,,,,,,,,,,,
Panderichthys_rhombolepis,Sarcopterygii,Frasnian,,,,,200,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Chagrinia_sp.,Sarcopterygii,Famennian,,,,,10,,Frickhinger 1991,,,,,,,,,,,,,,,,
Cryptolepis_grossi,Sarcopterygii,Famennian,,,,,100,,Lebedev 1995,,,,,,,,,,,,,,,,
Glyptopomus_kinnairdi,Sarcopterygii,Famennian,,,,,27,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Glyptopomus_minor,Sarcopterygii,Famennian,,,,,60,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Holoptychius_hallii,Sarcopterygii,Famennian,,,,,90,,Downs et al. 2013,,,,,,,,,,,,,,,,
Holoptychius_radiatus,Sarcopterygii,Famennian,,,,,60,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Sterropterygion_markovskyi,Sarcopterygii,Famennian,,,,,20,,Vorobyeva 1977,,,,,,,,,,,,,,,,
Jarvikia_arctica,Sarcopterygii,Famennian,,,,,100,,Krupina 1999,,,,,,,,,,,,,,,,
Jarvikia_lebedevi,Sarcopterygii,Famennian,,,,,72,,Krupina 1999,,,,,,,,,,,,,,,,
Sauripterus_anglicus,Sarcopterygii,Famennian,,,,,160,,Davis et al. 2004,,,,,,,,,,,,,,,,
Soederberghia_groenlandica,Sarcopterygii,Famennian,,,,,180,,Schultze 1992,,,,,,,,,,,,,,,,
Eusthenodon_waengsjoei,Sarcopterygii,Famennian,,,,,43,,Schultze & Chorn 1998,,,,,,,,,,,,,,,,
