Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Diademaspis?_mackenziensis,Agnatha,Lochkovian,,,,,9,,Adrian & Wilson 1994,,,,,,,,,,,,,,,,
Stensiopelta_pusulata,Agnatha,Lochkovian-Pragian,,,,,23,,Janvier 1985,,,,,,,,,,,,,,,,
Superciliaspis_gabrielsi,Agnatha,Lochkovian,,,,,5,,Hawthorn et al. 2008,,,,,,,,,,,,,,,,
Tannuaspis_levenkoi,Agnatha,Lochkovian,,,,,24,,Afanassieva 1985,,,,,,,,,,,,,,,,
Hoelaspis_angulata,Agnatha,Pragian,,,,,7,,Obruchev 1967,,,,,,,,,,,,,,,,
Tauraspis_rara,Agnatha,Pragian,,,,,8,,Mark-Kurik & Janvier 1995,,,,,,,,,,,,,,,,
Hapilaspis_apheles,Agnatha,Pragian,,,,,4,,Mark-Kurik & Janvier 1995,,1,1,0,NA,1,0,0,NA,1,0,0,NA,,,
Severaspis_rostralis,Agnatha,Pragian,,,,,6,,Mark-Kurik & Janvier 1995,,,,,,,,,,,,,,,,
Benneviaspis_urvantsevi,Agnatha,Pragian,,,,,15,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Benneviaspis_podolica,Agnatha,Pragian,,,,,13,,Voichyshyn 2011,,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,Benneviaspis anglica,,
Kiaeraspis_auchenaspidoides,Agnatha,Pragian,,,,,6,,Obruchev 1967,,,,,,,,,,,,,,,,
Axinaspis_whitei,Agnatha,Pragian,,,,,16,,Moy-Thomas & Miles 1971,,,,,,,,,,,,,,,,
Machairaspis_isachseni,Agnatha,Pragian,,,,,18,,Scott et al. 2013,,,,,,,,,,,,,,,,
Victoraspis_longicornualis,Agnatha,Pragian,,,,,22,,Carlsson & Blom 2008,,1,1,1,NA,1,0,0,NA,0,NA,NA,NA,Picture from Carlsson and Blom 2008,,
Wladysagitta_janvieri,Agnatha,Pragian,,,,,17,,Voichyshyn 2006,,,,,,,,,,,,,,,,
Poraspis_sp.,Agnatha,Pragian,,,,,6.2,,Elliott and Petriello 2011,,,,,,,,,,,,,,,,
Dnestraspis_firma,Agnatha,Pragian,,,,,17,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Parapteraspis_plana,Agnatha,Pragian,,,,,17,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Alaeckaspis_ustechiensis,Agnatha,Pragian,,,,,22,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Althaspis_elongata,Agnatha,Pragian,,,,,22,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Althaspis_sapovensis,Agnatha,Pragian,,,,,35,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Palanasaspis_chekhivensis,Agnatha,Pragian,,,,,9.3,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Europrotaspis_arnelli,Agnatha,Pragian,,,,,21,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Pavolaspis_pasternaki,Agnatha,Pragian,,,,,21,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Weigeltaspis_sp.,Agnatha,Pragian,,,,,23,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Benneviaspis_whitei,Agnatha,Pragian,,,,,11,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Benneviaspis_zychi,Agnatha,Pragian,,,,,22,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Citharaspis_polonica,Agnatha,Pragian,,,,,15,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Citharaspis_junia,Agnatha,Pragian,,,,,15,,Voichyshyn 2011,,,,,,,,,,,,,,,,
