Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (cm),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Dinichthys_herzeri,Placodermi,Frasnian,,,,,700,,Denison 1978,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.85 fig.67 D, outline of infragntathal only",,
Dinomylostoma_beecheri,Placodermi,Frasnian,,,,,130,,Denison 1978,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.99 fig.79 D,  infragntathals only",,
Dinomylostoma_eastmani,Placodermi,Frasnian-Famennian,,,,,72,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present.",,
Dunkleosteus_magnificus,Placodermi,Frasnian,,,,,340,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present.",,
Dunkleosteus_newberryi,Placodermi,Frasnian,,,,,350,,Eastman 1907,,,,,,,,,,,,,,,,
Eastmanosteus_calliaspis,Placodermi,Frasnian,,,,,89,,Long and Trinajstic 2010,,,,,,,,,,,,,,,,
Eldenosteus_arizonensis,Placodermi,Frasnian,,,,,360,,Denison 1978,,0,NA,NA,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.76 fig.58 C, fig. 59 C,  trunk armour",,
Enseosteus_jaekeli,Placodermi,Frasnian,,,,,32,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.96 fig.76 B, cranial and thoracic shield lateral view, p.95 fig.75 B, cranial shield",,
Enseosteus_hermanni,Placodermi,Frasnian,,,,,27,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Enseosteus_pachyostiodes,Placodermi,Frasnian,,,,,27,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Enseosteus_marocanensis,Placodermi,Frasnian,,,,,25,,Ruecklin 2011,,,,,,,,,,,,,,,,
Erromenosteus_lucifer,Placodermi,Frasnian,,,,,76,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Erromenosteus_brachyrostris,Placodermi,Frasnian,,,,,32,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Erromenosteus_concavus,Placodermi,Frasnian,,,,,71,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.92 fig.72 B, cranial and thoracic shield lateral view",,
Erromenosteus_diensti,Placodermi,Frasnian,,,,,64,,Denison 1978,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.85 fig.67 M, infragntathal only with artivular and mendomandibular.",,
Erromenosteus_inflatus,Placodermi,Frasnian,,,,,43,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.92 fig.72 A, cranial and thoracic shield dorsal view",,
Erromenosteus_koeneni,Placodermi,Frasnian,,,,,300,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Fallacosteus_turnerae,Placodermi,Frasnian,,,,,36,,Long 1990,,,,,,,,,,,,,,,,
Hadrosteus_rapax,Placodermi,Frasnian,,,,,86,,Denison 1978,,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.85-87 fig.67 G, fig. 68 D, fig. 69 D, infragnathal, skulls.",,
Harrytoombsia_sp.,Placodermi,Frasnian,,,,,53,,Long 1990,,,,,,,,,,,,,,,,
Heinzichthys_ringueberryi,Placodermi,Frasnian,,,,,53,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Holonema_westolli,Placodermi,Frasnian,,,,,88,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.9 fig.5 E, p.64 figs. 45-46D, head and trunk shield",,
Holonema_radiatum,Placodermi,Frasnian,,,,,150,,Denison 1978,,NA,"Denison 1978, figs. 5 G, 55 A, 56 A, cranial and trunk shields.M65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Holonema_rugosum,Placodermi,Frasnian,,,,,88,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Kendrichthys_cavernosus,Placodermi,Frasnian,,,,,85,,Dennis & Miles 1980,,,,,,,,,,,,,,,,
Kimberia_whybrowi,Placodermi,Frasnian,,,,,71,,Dennis-Bryan & Miles 1983,,,,,,,,,,,,,,,,
Kimberia_bispicatus,Placodermi,Frasnian,,,,,110,,Dennis-Bryan & Miles 1983,,,,,,,,,,,,,,,,
Leptosteus_bickensis,Placodermi,Frasnian,,,,,36,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, figs. 5 G, 55 A, 56 A, cranial and trunk shields.",,
Leptosteus_involutus,Placodermi,Frasnian,,,,,30,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Machaerognathus_woodwardi,Placodermi,Frasnian,,,,,210,,Denison 1978,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p. 104, fig. 83 G infragnathal only.",,
Malerosteus_gorizdroae,Placodermi,Frasnian,,,,,110,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.83-84 fig.64 D, fig. 65 A-C, jaw elements, cranial and thoracic armour.",,
Microsteus_dubius,Placodermi,Frasnian,,,,,27,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Pachyosteus_bulla,Placodermi,Frasnian-Famennian,,,,,54,,Denison 1978,,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, figs. 67 J, 75C, 76C, infragnathal, cranial shield",,
Parabelosteus_pusillus,Placodermi,Frasnian,,,,,32,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Parabelosteus_acuticeps,Placodermi,Frasnian,,,,,32,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.93 fig.73 A, head and thoracic shield dorsal view",,
Pholidosteus_friedeli,Placodermi,Frasnian,,,,,40,,Denison 1978,,1,1,0,NA,1,1,1,NA,0,NA,NA,NA,"Denison 1978, p.83 fig.64 A-B, head and trunk shield. Laterally projected spinal plates",,
Pluordosteus_sp.,Placodermi,Frasnian,,,,,100,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, species unspecified",,
Pluordosteus_canadensis,Placodermi,Frasnian,,,,,87,,Denison 1978,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.16 fig. 9 I, crosssection of mentomandibular, p.75 fig. 57 G, cranial roof + cheek plates",,
Pluordosteus_mironovi,Placodermi,Frasnian,,,,,59,,Denison 1978,,0,NA,NA,NA,Q1,Q0,Q1,NA,0,NA,NA,NA,"Denison 1978, p. 78 fig. 61 G, median dorsal plate only. ",,
Pluordosteus_trautscholdi,Placodermi,Frasnian,,,,,65,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Pluordosteus_timanicus,Placodermi,Frasnian-Famennian,,,,,87,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Rachiosteus_pterygiats,Placodermi,Frasnian,,,,,100,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p. 84 fig. 66, restoration of head and trunkshields.",,
Rhinosteus_traquairi,Placodermi,Frasnian,,,,,60,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present",,
Rhinosteus_parvulus,Placodermi,Frasnian,,,,,32,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, figs. 5F, 75E, 76A, head and trunk shield in lateral view, cranial shield, head and trunk shield",,
Rhinosteus_tuberculatus,Placodermi,Frasnian,,,,,81,,Denison 1978,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.85 fig.67 K, infragnathal",,
Rolfosteus_canningensis,Placodermi,Frasnian,,,,,46,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Synauchernia_coalescens,Placodermi,Frasnian,,,,,25,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.72-73 figs. 55B, 56C, craniaul and trunk shield dorsal view, same in lateral view.",,
Trematosteus_fontanellus,Placodermi,Frasnian,,,,,22,,Denison 1978,,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.93 figs. 73B 74E, cranial shield",,
Tapinosteus_heintzi,Placodermi,Frasnian,,,,,24,,Denison 1978,,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.83 fig. 64 C, cranial shield",,
Timanosteus_techernychevi,Placodermi,Frasnian,,,,,72,,Denison 1978,,0,NA,NA,NA,Q1,Q0,Q1,NA,0,NA,NA,NA,"Denison 1978, p.104 fig. 83 B, median dorsal only.",,
Torosteus_tuberculatus,Placodermi,Frasnian,,,,,40,,Gardiner & Miles 1990,,,,,,,,,,,,,,,,
Torosteus_pulchellus,Placodermi,Frasnian,,,,,31,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Tubonasis_lennardensis,Placodermi,Frasnian,,,,,32,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Bothriolepis_prima,Placodermi,Frasnian,,,,,17,,Luksevics 2001,,,,,,,,,,,,,,,,
Bothriolepis_obrutschewi,Placodermi,Frasnian,,,,,29,,Luksevics 2001,,,,,,,,,,,,,,,,
Bothriolepis_cellulosa,Placodermi,Frasnian,,,,,66,,Luksevics 2001,,,,,,,,,,,,,,,,
Bothriolepis_panderi,Placodermi,Frasnian,,,,,43,,Luksevics 2001,,,,,,,,,,,,,,,,
Bothriolepis_traudscholi,Placodermi,Frasnian,,,,,48,,Luksevics 2001,,,,,,,,,,,,,,,,
Bothriolepis_maxima,Placodermi,Frasnian,,,,,170,,Luksevics 2001,,,,,,,,,,,,,,,,
