Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (cm),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Lepadolepis_stensioei,Placodermi,Givetian-Frasnian,,,,,37,,Denison 1978,,0,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,"Denison 1978, p.119 fig.93 D, trunk shield. Sharp median dorsal which I am considering a spine.",,
Asterolepis_ornata,Placodermi,Givetian-Frasnian,,,,,49,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present.",,
Epipetalichthys/Desmoporella_minor,Placodermi,Givetian,,,,,11,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present.",,
Clarkosteus_halmodeus,Placodermi,Givetian-Frasnian,,,,,57,,Denison 1978,,Q1,Q0,Q0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.75 fig.57 F, cranial roof only",,
Nawagiaspis_wadeae,Placodermi,Givetian,,,,,31,,Young 1990,,,,,,,,,,,,,,,,
Asperaspis_carinata,Placodermi,Givetian,,,,,30,,Panteleyev 1993,,,,,,,,,,,,,,,,
Stegolepis_jugata,Placodermi,Givetian-Frasnian,,,,,34,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.113 fig.89 D, head and thoracic shield.",,
Tenizolepis_asiatica,Placodermi,Givetian-Frasnian,,,,,69,,Moloshnikov 2010,,,,,,,,,,,,,,,,
Tenizolepis_rara,Placodermi,Givetian-Frasnian,,,,,31,,Moloshnikov 2011,,,,,,,,,,,,,,,,
Dinichthys_ohioensis,Placodermi,Givetian,,,,,72,,Skeels 1962,,,,,,,,,,,,,,,,
Gamphacanthus_politus,Placodermi,Givetian,,,,,180,,Eastman 1907,,,,,,,,,,,,,,,,
Acantholepis_pustulosus,Placodermi,Givetian,,,,,93,,Newberry 1889,,,,,,,,,,,,,,,,
Acantholepis_fragilis,Placodermi,Givetian,,,,,210,,Eastman 1907,,,,,,,,,,,,,,,,
Ctenurella_gladbachensis,Placodermi,Frasnian,,,,,18,,Denison 1978,,1,1,0,NA,1,0,1,NA,1,0,0,NA,"Denison 1978, p.30 fig.19, life reconstruction. Body armour limited to around shoulders but will still consider.",,
Denisonodus_plutonensis,Placodermi,Frasnian,,,,,28,,Johnson & Elliott 1996,,,,,,,,,,,,,,,,
Jagorina_pandora,Placodermi,Frasnian,,,,,37,,Denison 1978,,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, p.26 fig.15, head only, p.12 fig. 6 D, had spiny tesserae?",,
Palaeomylus_hussakofi,Placodermi,Frasnian,,,,,230,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present. Species known only from dental plates",,
Palaeomylus_lunaeformis,Placodermi,Frasnian,,,,,150,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present. Species known only from dental plates",,
Palaeomylus_minor,Placodermi,Frasnian,,,,,48,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present. Species known only from dental plates",,
Ptyctodus_bradyi,Placodermi,Frasnian,,,,,32,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present. Species known only from dental plates",,
Ptyctodus_czarnockii,Placodermi,Frasnian,,,,,110,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present. Species known only from dental plates",,
Ptyctodus_kielcensis,Placodermi,Frasnian,,,,,63,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present. Species known only from dental plates",,
Rhynchodus_marginalis,Placodermi,Frasnian,,,,,96,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present.",,
Rhynchodus_tetradon,Placodermi,Frasnian,,,,,63,,Denison 1978,,Q1,Q0,Q0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.27 fig.16 D, cranial roof, p.29 fig. 18 A, upper + lower dental plates.",,
Epipetalichthys_wildungensis,Placodermi,Frasnian,,,,,48,,Denison 1978,,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, p.37 fig.25 F, cranial roof.",,
Aspidichthys_clavatus,Placodermi,Frasnian,,,,,200,,Denison 1978,,0,NA,NA,NA,Q1,Q0,Q1,NA,0,NA,NA,NA,"Denison 1978, p.107 fig.83 I, outline only drawing of median dorsal plate.",,
Aspidichthys_ingens,Placodermi,Frasnian,,,,,190,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.104 fig.84, reconstruction of head and thoracic shield in lateral view.",,
Belosteus_elegans,Placodermi,Frasnian,,,,,68,,Denison 1978,,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.93  fig.73 C,head shield in dorsal view.",,
Brachydeirus_carinatus,Placodermi,Frasnian,,,,,65,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present.",,
Brachydeirus_bicarinatus,Placodermi,Frasnian,,,,,48,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.72  fig.55 D, head and thoracic shield in dorsal view.",,
Brachydeirus_gracilis,Placodermi,Frasnian,,,,,33,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present.",,
Brachydeirus_grandis,Placodermi,Frasnian,,,,,110,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.73  fig.56 B, head and thoracic shield in lateral view.",,
Brachydeirus_minor,Placodermi,Frasnian,,,,,40,,Denison 1978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denison 1978, no images present.",,
Brachyosteus_deitrichi,Placodermi,Frasnian,,,,,27,,Denison 1978,,1,1,0,NA,1,0,1,NA,0,NA,NA,NA,"Denison 1978, p.93 fig.74 B, head and thoracic shield in lateral view.",,
Braunosteus_schmidti,Placodermi,Frasnian,,,,,50,,Denison 1978,,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.95 fig.75 D, cranial shield.",,
Bruntonichthys_multidens,Placodermi,Frasnian,,,,,48,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Bullerichthys_fascidens,Placodermi,Frasnian,,,,,44,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Callognathus_regularis,Placodermi,Frasnian-Famennian,,,,,50,,Denison 1978,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.104 fig.83 D, infragnathal only",,
Camuropiscus_concinnus,Placodermi,Frasnian,,,,,32,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Camuropiscus_laidlowi,Placodermi,Frasnian,,,,,15,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Copanognathus_crassus,Placodermi,Frasnian,,,,,200,,Denison 1978,,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.104 fig.83 F, infragnathal only",,
Cyrtosteus_inflatus,Placodermi,Frasnian,,,,,21,,Denison 1978,,1,1,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Denison 1978, p.93 fig.73 D, cranial shield",,
