Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Psammolepis_proia,Agnatha,Eifelian-Givetian,,,,,101,,Elliott & Mark-Kurik 2005,,,,,,,,,,,,,,,,
Psammolepis_undulata,Agnatha,Eifelian-Givetian,,,,,56,,Elliott & Mark-Kurik 2005,,,,,,,,,,,,,,,,
Clarorbis_apponomedianus,Agnatha,Eifelian,,,,,20,,Pan & Ji 1993,,,,,,,,,,,,,,,,
Rhinopteraspis_cornubica,Agnatha,Eifelian,,,,,14,,Tarlo 1961,,,,,,,,,,,,,,,,
Trewinia_magnifica,Agnatha,Eifelian-Frasnian,,,,,60,,Moy-Thomas & Miles 1971,,,,,,,,,,,,,,,,
Cornovichthys_blaauweni,Agnatha,Eifelian,,,,,12,,Newman & Trewin 2001,,,,,,,,,,,,,,,,
Psammosteus_bergi,Agnatha,Givetian,,,,,98,,Elliott & Mark-Kurik 2005,,,,,,,,,,,,,,,,
Schizosteus_shkurlatensis,Agnatha,Givetian,,,,,39,,Moloshnikov 2009,,,,,,,,,,,,,,,,
Tartuosteus_zhelezniogerskensis,Agnatha,Frasnian,,,,,56,,Moloshnikov 2007,,,,,,,,,,,,,,,,
Alaspis_rosamundae,Agnatha,Frasnian,,,,,180,,Janvier & Arsenault 1996,,,,,,,,,,,,,,,,
Escuminaspis_laticeps,Agnatha,Frasnian,,,,,38,,Janvier et al. 2004,,,,,,,,,,,,,,,,
Aspidosteus_heckeri,Agnatha,Frasnian,,,,,100,,Obruchev 1967,,,,,,,,,,,,,,,,
Obruchevia_heckleri,Agnatha,Frasnian,,,,,140,,Elliott et al. 2004,,,,,,,,,,,,,,,,
Perscheia_pulla,Agnatha,Frasnian,,,,,49,,Elliott et al. 2004,,,,,,,,,,,,,,,,
Legendrelepis_parenti,Agnatha,Frasnian,,,,,8.5,,Janvier 1996,,,,,,,,,,,,,,,,
Eupanerops_longaevus,Agnatha,Frasnian,,,,,10,,Janvier 1996,,,,,,,,,,,,,,,,
Endeiolepis_aneri,Agnatha,Frasnian,,,,,16,,Janvier 1996,,,,,,,,,,,,,,,,
Levesquaspis_patteni,Agnatha,Frasnian,,,,,10,,Robertson 1936,,,,,,,,,,,,,,,,
Kujdanwiaspis_podolica,Placodermi,Lochkovian-Pragian,,,,,15,,Dupret et al. 2011,,,,,,,,,,,,,,,,
Wheathillaspis_wickhamkingi,Placodermi,Lochkovian,,,,,20,,Denison 1978,,,,,,,,,,,,,,,,
Heightingtonaspis_anglica,Placodermi,Lochkovian,,,,,30,,Denison 1978,,,,,,,,,,,,,,,,
Heightingtonaspis_willsi,Placodermi,Lochkovian,,,,,50,,Denison 1978,,,,,,,,,,,,,,,,
Heightingtonaspis_clarkei,Placodermi,Lochkovian,,,,,20,,Denison 1978,,,,,,,,,,,,,,,,
Erikaspis_zychi,Placodermi,Lochkovian,,,,,50,,Dupret et al. 2011,,,,,,,,,,,,,,,,
Palaeacanthaspis_vasta,Placodermi,Lochkovian,,,,,20,,Dupret et al. 2011,,,,,,,,,,,,,,,,
Hagiangella_goujeti,Placodermi,Lochkovian,,,,,7,,Wang et al. 2010,,,,,,,,,,,,,,,,
Minicrania_lissa,Placodermi,Lochkovian,,,,,8,,Wang et al. 2010,,,,,,,,,,,,,,,,
Chuchinolepis_dongmoensis,Placodermi,Lochkovian,,,,,6,,Wang et al. 2010,,,,,,,,,,,,,,,,
Yunnanolepis_bacboensis,Placodermi,Lochkovian,,,,,14,,Wang et al. 2010,,,,,,,,,,,,,,,,
Yunnanolepis_chii,Placodermi,Lochkovian,,,,,18,,Zhao & Zhu 2010,,,,,,,,,,,,,,,,
Yunnanolepis_porifera,Placodermi,Lochkovian,,,,,7,,Zhu 1996,,,,,,,,,,,,,,,,
Heteroyunnanolepis_qujingensis,Placodermi,Lochkovian,,,,,22,,Zhu 1996,,,,,,,,,,,,,,,,
Chuchinolepis_gracilis,Placodermi,Lochkovian,,,,,6,,Zhu 1996,,,,,,,,,,,,,,,,
Zhanjilepis_aspriatilis,Placodermi,Lochkovian,,,,,6,,Zhu 1996,,,,,,,,,,,,,,,,
Minicrania_lirouyii,Placodermi,Lochkovian,,,,,4.5,,Zhu & Janvier 1996,,,,,,,,,,,,,,,,
Diandongpetalichthys_liaojaoshanensis,Placodermi,Lochkovian,,,,,10,,Zhu 1991,,,,,,,,,,,,,,,,
Szelepis_yunnanensis,Placodermi,Lochkovian-Pragian,,,,,30,,Liu 1979,,,,,,,,,,,,,,,,
Phymolepis_cuifengshanensis,Placodermi,Lochkovian,,,,,8,,Zhu 1996,,,,,,,,,,,,,,,,
Phymolepis_guoruii,Placodermi,Lochkovian,,,,,22,,Zhu 1996,,,,,,,,,,,,,,,,
Chuchinolepis_qujingensis,Placodermi,Lochkovian,,,,,10,,Zhu 1996,,,,,,,,,,,,,,,,
Chuchinolepis_sulcata,Placodermi,Lochkovian,,,,,17,,Zhu 1996,,,,,,,,,,,,,,,,
Chuchinolepis_robusta,Placodermi,Lochkovian,,,,,7,,Zhu 1996,,,,,,,,,,,,,,,,
Gavinaspis_convergens,Placodermi,Lochkovian,,,,,38,,Zhao & Zhu 2010,,,,,,,,,,,,,,,,
Eskimaspis_heintzi,Placodermi,Lochkovian,,,,,23,,Dineley & Liu 1984,,,,,,,,,,,,,,,,
Baringaspis_dineleyi,Placodermi,Lochkovian,,,,,49,,Miles 1973,,,,,,,,,,,,,,,,
Yunnanolepis_meemannae,Placodermi,Pragian,,,,,29,,Thanh & Janvier 1994,,,,,,,,,,,,,,,,
Yujiangolepis_suni,Placodermi,Pragian,,,,,25,,Zhu et al. 2010,,,,,,,,,,,,,,,,
Neopetalichthys_yenmenpaensis,Placodermi,Pragian,,,,,18,,Liu 1973,,,,,,,,,,,,,,,,
Yiminaspis_shenme,Placodermi,Pragian,,,,,12,,Dupret 2008,,,,,,,,,,,,,,,,
Mizia_longhuanensis,Placodermi,Pragian,,,,,6.5,,Zhu 1996,,,,,,,,,,,,,,,,
Kujdanwiaspis_buczacziensis,Placodermi,Pragian,,,,,30,,Dupret 2010,,,,,,,,,,,,,,,,
Radontina_prima,Placodermi,Pragian,,,,,40,,Denison 1978,,,,,,,,,,,,,,,,
Radontina_tessellata,Placodermi,Pragian,,,,,28,,Denison 1978,,,,,,,,,,,,,,,,
Arabosteus_variabilis,Placodermi,Pragian,,,,,23,,Olive et al. 2011,,,,,,,,,,,,,,,,
Eukaia_elongata,Placodermi,Pragian,,,,,44,,Mark-Kurik 2013,,,,,,,,,,,,,,,,
Tityosteus_rieversi,Placodermi,Pragian,,,,,200,,Bartels et al. 1998,,,,,,,,,,,,,,,,
Lunaspis_heroldi,Placodermi,Pragian,,,,,15,,Bartels et al. 1998,,,,,,,,,,,,,,,,
Lunaspis_broilii,Placodermi,Pragian,,,,,45,,Bartels et al. 1998,,,,,,,,,,,,,,,,
Gemuendina_stuertzi,Placodermi,Pragian,,,,,100,,Bartels et al. 1998,,,,,,,,,,,,,,,,
Proaethaspis_ohioensis,Placodermi,Pragian,,,,,12,,Denison 1960,,,,,,,,,,,,,,,,
Kueichowlepis_sinensis,Placodermi,Emsian,,,,,48,,Liu 1979,,,,,,,,,,,,,,,,
Dayaoshania_youngi,Placodermi,Emsian,,,,,18,,Ritchie et al. 1992,,,,,,,,,,,,,,,,
Jiuchengia_longoccipita,Placodermi,Emsian-Givetian,,,,,110,,Wang & Wang 1983,,,,,,,,,,,,,,,,
Exutaspis_megista,Placodermi,Emsian-Givetian,,,,,67,,Lin & Wang 1981,,,,,,,,,,,,,,,,
Xiangshuiosteus_wui,Placodermi,Emsian,,,,,31,,Wang 1992,,,,,,,,,,,,,,,,
Liguanolepis_pileos,Placodermi,Emsian,,,,,6.7,,Zhang & Young 1992,,,,,,,,,,,,,,,,
Wudinolepis_weni,Placodermi,Emsian,,,,,4.9,,Zhang 1965,,,,,,,,,,,,,,,,
Microbranchius_chuandongensis,Placodermi,Emsian,,,,,26,,Zhao & Zhu 2010,,,,,,,,,,,,,,,,
Xichonolepis_qujingensis,Placodermi,Emsian-Eifelian,,,,,70,,Ritchie et al. 1992,,,,,,,,,,,,,,,,
Bothriolepis_tungseni,Placodermi,Emsian-Eifelian,,,,,29,,Zhang 1965,,,,,,,,,,,,,,,,
Groenlandaspis_sp.,Placodermi,Emsian-Eifelian,,,,,25,,Dineley 1999,,,,,,,,,,,,,,,,
Taemosteus_novaustrocambricus,Placodermi,Emsian,,,,,140,,Young 2004,,,,,,,,,,,,,,,,
Bothriolepis_sp.,Placodermi,Emsian,,,,,50,,Frickhinger 1991,,,,,,,,,,,,,,,,
Notopetalichthys_hillsi,Placodermi,Emsian,,,,,33,,Denison 1978,,,,,,,,,,,,,,,,
Goodradigbeeon_australiensis,Placodermi,Emsian,,,,,150,,White 1978,,,,,,,,,,,,,,,,
Coccosteus_sp.,Placodermi,Emsian,,,,,40,,Frickhinger 1991,,,,,,,,,,,,,,,,
Edgellaspis_gorteri,Placodermi,Emsian-Eifelian,,,,,34,,Hunt and Young 2011,,,,,,,,,,,,,,,,
Dhanguura_johnstoni,Placodermi,Emsian,,,,,230,,Young 2004,,,,,,,,,,,,,,,,
Cathlesichthys_weejasperensis,Placodermi,Emsian,,,,,270,,Young 2004,,,,,,,,,,,,,,,,
Weejasperensis_gavini,Placodermi,Emsian,,,,,20,,White 1978,,,,,,,,,,,,,,,,
Burrinjucosteus_asymmetricus,Placodermi,Emsian,,,,,94,,White 1978,,,,,,,,,,,,,,,,
Buchanosteus_confertituberculatus,Placodermi,Emsian,,,,,74,,Young 1979,,,,,,,,,,,,,,,,
Arenipiscis_westolli,Placodermi,Emsian,,,,,87,,Young 1981,,,,,,,,,,,,,,,,
Errolosteus_goodragibeensis,Placodermi,Emsian,,,,,77,,Young 1981,,,,,,,,,,,,,,,,
Elvaspis_tuberculata,Placodermi,Emsian,,,,,15,,Young 2009,,,,,,,,,,,,,,,,
Elvaspis_whitei,Placodermi,Emsian,,,,,11,,Young 2009,,,,,,,,,,,,,,,,
Bimbianga_burrinjuckensis,Placodermi,Emsian,,,,,130,,Young 2005,,,,,,,,,,,,,,,,
