Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Cephalaspis_abergavenniensis,Agnatha,Lochkovian,,,,,21,,Dineley 1999,,,,,,,,,,,,,,,,
Cephalaspis_pagei,Agnatha,Lochkovian,,,,,,,Dineley 1999,,,,,,,,,,,,,,,,
Cephalaspis_lyelli,Agnatha,Lochkovian,,,,,,,Moy-Thomas & Miles 1971,,,,,,,,,,,,,,,,
Cephalaspis_toombsi,Agnatha,Lochkovian,,,,,30,,White 1935,,,,,,,,,,,,,,,,
Cephalaspis_waynensis,Agnatha,Lochkovian,,,,,27,,White 1935,,,,,,,,,,,,,,,,
Cephalaspis_virgoi,Agnatha,Lochkovian,,,,,28,,White 1935,,,,,,,,,,,,,,,,
Turinia_pagei,Agnatha,Lochkovian,,,,,32,,Frickhinger 1991,,,,,,,,,,,,,,,,
Pteraspis_rostrata,Agnatha,Lochkovian,,,,,15,,Frickhinger 1991,,,,,,,,,,,,,,,,
Pteraspis_jackana,Agnatha,Lochkovian,,,,,15,,White 1935,,,,,,,,,,,,,,,,
Pteraspis_mitchelli,Agnatha,Lochkovian,,,,,26,,Dineley 1999,,,,,,,,,,,,,,,,
Cwmaspis_billcrofti,Agnatha,Lochkovian,,,,,14,,Dineley 1999,,,,,,,,,,,,,,,,
Rhinopteraspis_crouchi,Agnatha,Lochkovian,,,,,17,,Dineley 1999,,,,,,,,,,,,,,,,
Rhinopteraspis_dunensis,Agnatha,Lochkovian,,,,,17,,Dineley 1999,,,,,,,,,,,,,,,,
Nikolivia_milesi,Agnatha,Lochkovian,,,,,15,,Turner 1982,,,,,,,,,,,,,,,,
Errivaspis_waynensis,Agnatha,Lochkovian,,,,,19,,Mark-Kurik and Botella 2009,,,,,,,,,,,,,,,,
Althaspis_leachi,Agnatha,Lochkovian,,,,,70,,Loeffler & Thomas 1980,,,,,,,,,,,,,,,,
Althaspis_sennensis,Agnatha,Lochkovian,,,,,30,,Loeffler & Thomas 1980,,,,,,,,,,,,,,,,
Althaspis_tarloi,Agnatha,Lochkovian,,,,,26,,Loeffler & Thomas 1980,,,,,,,,,,,,,,,,
Zenaspis_kasymyri,Agnatha,Lochkovian,,,,,30,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Podolaspis_danieli,Agnatha,Lochkovian,,,,,17,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Djurinaspis_secunda,Agnatha,Lochkovian,,,,,30,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Semipodolaspis_slobodensis,Agnatha,Lochkovian,,,,,24,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Waengsjoeaspis_nahanniensis,Agnatha,Lochkovian,,,,,29,,Scott & Wilson 2012,,,,,,,,,,,,,,,,
Waengsjoeaspis_platycornis,Agnatha,Lochkovian,,,,,22,,Scott & Wilson 2012,,,,,,,,,,,,,,,,
Larovaspis_kneri,Agnatha,Lochkovian,,,,,14,,Lebedev et al. 2009,,,,,,,,,,,,,,,,
Polybranchiaspis_liaojaoshanensis,Agnatha,Lochkovian-Pragian,,,,,16,,Moy-Thomas & Miles 1971,,,,,,,,,,,,,,,,
Polybranchiaspis_minor,Agnatha,Lochkovian,,,,,4.3,,Moy-Thomas & Miles 1971,,,,,,,,,,,,,,,,
Polybranchiaspis_yulongssus,Agnatha,Lochkovian,,,,,22,,Zhu & Gai 2007,,,,,,,,,,,,,,,,
Laxaspis_qujingensis,Agnatha,Lochkovian,,,,,26,,Liu 1975,,,,,,,,,,,,,,,,
Laxaspis_rostrata,Agnatha,Lochkovian,,,,,28,,Liu 1975,,,,,,,,,,,,,,,,
Diandongaspis_xishancunensis,Agnatha,Lochkovian,,,,,20,,Liu 1975,,,,,,,,,,,,,,,,
Damaspis_vartus,Agnatha,Lochkovian,,,,,10,,Wang & Wang 1982,,,,,,,,,,,,,,,,
Stephaspis_dipteriga,Agnatha,Lochkovian,,,,,18,,Gai & Zhu 2007,,,,,,,,,,,,,,,,
Eugaleaspis_changi,Agnatha,Lochkovian,,,,,9,,Liu 1975,,,,,,,,,,,,,,,,
Nanpanaspis_microculus,Agnatha,Lochkovian,,,,,14,,Liu 1975,,,,,,,,,,,,,,,,
Cyclodiscaspis_ctenus,Agnatha,Lochkovian,,,,,22,,Liu 1975,,,,,,,,,,,,,,,,
Didymaspos_grinrodi,Agnatha,Lochkovian,,,,,8.6,,Obruchev 1967,,,,,,,,,,,,,,,,
Timanaspis_kossovi,Agnatha,Lochkovian,,,,,21,,Obruchev 1967,,,,,,,,,,,,,,,,
Sclerodus_pustuliferus,Agnatha,Lochkovian,,,,,5.8,,Obruchev 1967,,,,,,,,,,,,,,,,
Asceraspis_robusta,Agnatha,Lochkovian,,,,,16,,Obruchev 1967,,,,,,,,,,,,,,,,
Hemicyclaspis_murchisoni,Agnatha,Lochkovian,,,,,21,,Obruchev 1967,,,,,,,,,,,,,,,,
Hirella_gracilis,Agnatha,Lochkovian,,,,,9,,Obruchev 1967,,,,,,,,,,,,,,,,
Rhyncholepis_parvulus,Agnatha,Lochkovian,,,,,7,,Obruchev 1967,,,,,,,,,,,,,,,,
Pterygolepis_nitidus,Agnatha,Lochkovian,,,,,11,,Obruchev 1967,,,,,,,,,,,,,,,,
Pharyngolepis_oblongus,Agnatha,Lochkovian,,,,,18,,Obruchev 1967,,,,,,,,,,,,,,,,
Parameteoraspis_oblongus,Agnatha,Lochkovian-Emsian,,,,,20,,Belles-Isles 1989,,,,,,,,,,,,,,,,
Aporemaspis_pholidata,Agnatha,Lochkovian,,,,,11,,Elliott & Loeffler 1984,,,,,,,,,,,,,,,,
Stegobranchiaspis_baringensis,Agnatha,Lochkovian,,,,,29,,Elliott 1983,,,,,,,,,,,,,,,,
Escharaspis_alata,Agnatha,Lochkovian,,,,,30,,Elliott 1983,,,,,,,,,,,,,,,,
Unarkaspis_schultzei,Agnatha,Lochkovian,,,,,29,,Elliott 1983,,,,,,,,,,,,,,,,
Ctenaspis_obruchevi,Agnatha,Lochkovian,,,,,14,,Dineley 1976,,,,,,,,,,,,,,,,
Ctenaspis_russelli,Agnatha,Lochkovian,,,,,17,,Dineley 1976,,,,,,,,,,,,,,,,
Sanqiaspis_vietnamensis,Agnatha,Lochkovian-Pragian,,,,,10,,Wang et al. 2010,,,,,,,,,,,,,,,,
Laxaspis_yulongssus,Agnatha,Lochkovian-Pragian,,,,,19,,Wang et al. 2010,,,,,,,,,,,,,,,,
Bannhuanaspis_vukhuci,Agnatha,Lochkovian-Pragian,,,,,30,,Wang et al. 2010,,,,,,,,,,,,,,,,
Pattenaspis_rogalai,Agnatha,Lochkovian-Pragian,,,,,20,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Pattenaspis_whitei,Agnatha,Lochkovian,,,,,33,,Keating et al. 2012,,,,,,,,,,,,,,,,
Zenaspis_salweyi,Agnatha,,,,,,,,Keating et al. 2012,,,,,,,,,,,,,,,,
Zenaspis_podolica,Agnatha,,,,,,,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Zenaspis_waynensis,Agnatha,,,,,,,,Keating et al. 2012,,,,,,,,,,,,,,,,
Zenaspis_dzieduszyckii,Agnatha,,,,,,,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Zenaspis_major,Agnatha,,,,,,,,Voichyshyn 2011,,,,,,,,,,,,,,,,
Diademaspis_janvieri,Agnatha,Lochkovian,,,,,40,,Keating et al. 2012,,,,,,,,,,,,,,,,
