Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Lepadolepis_stensioei,Placodermi,Givetian-Frasnian,,,,,37,,Denison 1978,,,,,,,,,,,,,,,,
Asterolepis_ornata,Placodermi,Givetian-Frasnian,,,,,49,,Denison 1978,,,,,,,,,,,,,,,,
Epipetalichthys/Desmoporella_minor,Placodermi,Givetian,,,,,11,,Denison 1978,,,,,,,,,,,,,,,,
Clarkosteus_halmodeus,Placodermi,Givetian-Frasnian,,,,,57,,Denison 1978,,,,,,,,,,,,,,,,
Nawagiaspis_wadeae,Placodermi,Givetian,,,,,31,,Young 1990,,,,,,,,,,,,,,,,
Asperaspis_carinata,Placodermi,Givetian,,,,,30,,Panteleyev 1993,,,,,,,,,,,,,,,,
Stegolepis_jugata,Placodermi,Givetian-Frasnian,,,,,34,,Denison 1978,,,,,,,,,,,,,,,,
Tenizolepis_asiatica,Placodermi,Givetian-Frasnian,,,,,69,,Moloshnikov 2010,,,,,,,,,,,,,,,,
Tenizolepis_rara,Placodermi,Givetian-Frasnian,,,,,31,,Moloshnikov 2011,,,,,,,,,,,,,,,,
Dinichthys_ohioensis,Placodermi,Givetian,,,,,72,,Skeels 1962,,,,,,,,,,,,,,,,
Gamphacanthus_politus,Placodermi,Givetian,,,,,180,,Eastman 1907,,,,,,,,,,,,,,,,
Acantholepis_pustulosus,Placodermi,Givetian,,,,,93,,Newberry 1889,,,,,,,,,,,,,,,,
Acantholepis_fragilis,Placodermi,Givetian,,,,,210,,Eastman 1907,,,,,,,,,,,,,,,,
Ctenurella_gladbachensis,Placodermi,Frasnian,,,,,18,,Denison 1978,,,,,,,,,,,,,,,,
Denisonodus_plutonensis,Placodermi,Frasnian,,,,,28,,Johnson & Elliott 1996,,,,,,,,,,,,,,,,
Jagorina_pandora,Placodermi,Frasnian,,,,,37,,Denison 1978,,,,,,,,,,,,,,,,
Palaeomylus_hussakofi,Placodermi,Frasnian,,,,,230,,Denison 1978,,,,,,,,,,,,,,,,
Palaeomylus_lunaeformis,Placodermi,Frasnian,,,,,150,,Denison 1978,,,,,,,,,,,,,,,,
Palaeomylus_minor,Placodermi,Frasnian,,,,,48,,Denison 1978,,,,,,,,,,,,,,,,
Ptyctodus_bradyi,Placodermi,Frasnian,,,,,32,,Denison 1978,,,,,,,,,,,,,,,,
Ptyctodus_czarnockii,Placodermi,Frasnian,,,,,110,,Denison 1978,,,,,,,,,,,,,,,,
Ptyctodus_kielcensis,Placodermi,Frasnian,,,,,63,,Denison 1978,,,,,,,,,,,,,,,,
Rhynchodus_marginalis,Placodermi,Frasnian,,,,,96,,Denison 1978,,,,,,,,,,,,,,,,
Rhynchodus_tetradon,Placodermi,Frasnian,,,,,63,,Denison 1978,,,,,,,,,,,,,,,,
Epipetalichthys_wildungensis,Placodermi,Frasnian,,,,,48,,Denison 1978,,,,,,,,,,,,,,,,
Aspidichthys_clavatus,Placodermi,Frasnian,,,,,200,,Denison 1978,,,,,,,,,,,,,,,,
Aspidichthys_ingens,Placodermi,Frasnian,,,,,190,,Denison 1978,,,,,,,,,,,,,,,,
Belosteus_elegans,Placodermi,Frasnian,,,,,68,,Denison 1978,,,,,,,,,,,,,,,,
Brachydeirus_carinatus,Placodermi,Frasnian,,,,,65,,Denison 1978,,,,,,,,,,,,,,,,
Brachydeirus_bicarinatus,Placodermi,Frasnian,,,,,48,,Denison 1978,,,,,,,,,,,,,,,,
Brachydeirus_gracilis,Placodermi,Frasnian,,,,,33,,Denison 1978,,,,,,,,,,,,,,,,
Brachydeirus_grandis,Placodermi,Frasnian,,,,,110,,Denison 1978,,,,,,,,,,,,,,,,
Brachydeirus_minor,Placodermi,Frasnian,,,,,40,,Denison 1978,,,,,,,,,,,,,,,,
Brachyosteus_deitrichi,Placodermi,Frasnian,,,,,27,,Denison 1978,,,,,,,,,,,,,,,,
Braunosteus_schmidti,Placodermi,Frasnian,,,,,50,,Denison 1978,,,,,,,,,,,,,,,,
Bruntonichthys_multidens,Placodermi,Frasnian,,,,,48,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Bullerichthys_fascidens,Placodermi,Frasnian,,,,,44,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Callognathus_regularis,Placodermi,Frasnian-Famennian,,,,,50,,Denison 1978,,,,,,,,,,,,,,,,
Camuropiscus_concinnus,Placodermi,Frasnian,,,,,32,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Camuropiscus_laidlowi,Placodermi,Frasnian,,,,,15,,Dennis & Miles 1979,,,,,,,,,,,,,,,,
Copanognathus_crassus,Placodermi,Frasnian,,,,,200,,Denison 1978,,,,,,,,,,,,,,,,
Cyrtosteus_inflatus,Placodermi,Frasnian,,,,,21,,Denison 1978,,,,,,,,,,,,,,,,
Dinichthys_herzeri,Placodermi,Frasnian,,,,,700,,Denison 1978,,,,,,,,,,,,,,,,
Dinomylostoma_beecheri,Placodermi,Frasnian,,,,,130,,Denison 1978,,,,,,,,,,,,,,,,
Dinomylostoma_eastmani,Placodermi,Frasnian-Famennian,,,,,72,,Denison 1978,,,,,,,,,,,,,,,,
Dunkleosteus_magnificus,Placodermi,Frasnian,,,,,340,,Denison 1978,,,,,,,,,,,,,,,,
Dunkleosteus_newberryi,Placodermi,Frasnian,,,,,350,,Eastman 1907,,,,,,,,,,,,,,,,
Eastmanosteus_calliaspis,Placodermi,Frasnian,,,,,89,,Long and Trinajstic 2010,,,,,,,,,,,,,,,,
Eldenosteus_arizonensis,Placodermi,Frasnian,,,,,360,,Denison 1978,,,,,,,,,,,,,,,,
Enseosteus_jaekeli,Placodermi,Frasnian,,,,,32,,Denison 1978,,,,,,,,,,,,,,,,
Enseosteus_hermanni,Placodermi,Frasnian,,,,,27,,Denison 1978,,,,,,,,,,,,,,,,
Enseosteus_pachyostiodes,Placodermi,Frasnian,,,,,27,,Denison 1978,,,,,,,,,,,,,,,,
Enseosteus_marocanensis,Placodermi,Frasnian,,,,,25,,Ruecklin 2011,,,,,,,,,,,,,,,,
Erromenosteus_lucifer,Placodermi,Frasnian,,,,,76,,Denison 1978,,,,,,,,,,,,,,,,
Erromenosteus_brachyrostris,Placodermi,Frasnian,,,,,32,,Denison 1978,,,,,,,,,,,,,,,,
Erromenosteus_concavus,Placodermi,Frasnian,,,,,71,,Denison 1978,,,,,,,,,,,,,,,,
Erromenosteus_diensti,Placodermi,Frasnian,,,,,64,,Denison 1978,,,,,,,,,,,,,,,,
Erromenosteus_inflatus,Placodermi,Frasnian,,,,,43,,Denison 1978,,,,,,,,,,,,,,,,
Erromenosteus_koeneni,Placodermi,Frasnian,,,,,300,,Denison 1978,,,,,,,,,,,,,,,,
Fallacosteus_turnerae,Placodermi,Frasnian,,,,,36,,Long 1990,,,,,,,,,,,,,,,,
Hadrosteus_rapax,Placodermi,Frasnian,,,,,86,,Denison 1978,,,,,,,,,,,,,,,,
Harrytoombsia_sp.,Placodermi,Frasnian,,,,,53,,Long 1990,,,,,,,,,,,,,,,,
Heinzichthys_ringueberryi,Placodermi,Frasnian,,,,,53,,Denison 1978,,,,,,,,,,,,,,,,
Holonema_westolli,Placodermi,Frasnian,,,,,88,,Denison 1978,,,,,,,,,,,,,,,,
