Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Hyneria_lindae,Sarcopterygii,Famennian,,,,,250,,Thomson 1968,,,,,,,,,,,,,,,,
Orlovichthys_limnatus,Sarcopterygii,Famennian,,,,,28,,Krupina et al. 2001,,,,,,,,,,,,,,,,
Apatorhynchus_opistheretmus,Sarcopterygii,Famennian,,,,,80,,Friedman & Daeschler 2007,,,,,,,,,,,,,,,,
Canowindra_grossi,Sarcopterygii,Famennian,,,,,52,,Frickhinger 1991,,,,,,,,,,,,,,,,
Mandageria_fairfaxi,Sarcopterygii,Famennian,,,,,160,,Johanson et al. 2003,,,,,,,,,,,,,,,,
Cabonnichthys_bursi,Sarcopterygii,Famennian,,,,,74,,Ahlberg & Johanson 1997,,,,,,,,,,,,,,,,
Gooloogongia_loomesi,Sarcopterygii,Famennian,,,,,89,,Johanson & Ahlberg 1998,,,,,,,,,,,,,,,,
Phaneropleuron_andersoni,Sarcopterygii,Famennian,,,,,33,,Frickhinger 1991,,,,,,,,,,,,,,,,
Rhynchodipterus_elginensis,Sarcopterygii,Famennian,,,,,50,,Ahlberg et al. 2001,,,,,,,,,,,,,,,,
Sterropterygion_brandei,Sarcopterygii,Famennian,,,,,38,,Thomson 1972,,,,,,,,,,,,,,,,
Heddleichthys_dalgliensis,Sarcopterygii,Famennian,,,,,50,,Snitting 2009,,,,,,,,,,,,,,,,
Langlieria_socqueti,Sarcopterygii,Famennian,,,,,79,,Clement et al. 2009,,,,,,,,,,,,,,,,
Sunwapta_grandiceps,Sarcopterygii,Famennian,,,,,100,,Thomson 1967,,,,,,,,,,,,,,,,
Uzunbulaklepis_obruchevi,Sarcopterygii,Famennian,,,,,100,,Vorobyeva & Panteleyev 2005,,,,,,,,,,,,,,,,
Gyroptychius_pauli,Sarcopterygii,Famennian,,,,,20,,Vorobyeva 1977,,,,,,,,,,,,,,,,
Edenopteron_kiethcrooki,Sarcopterygii,Famennian,,,,,250,,Young et al. 2013,,,,,,,,,,,,,,,,
Osteolepidid_indet.,Sarcopterygii,Famennian,,,,,18.8,,Schultze & Chorn 1998,,,,,,,,,,,,,,,,
Thursius_estonicus,Sarcopterygii,Famennian,,,,,29,,Vorobyeva 1977,,,,,,,,,,,,,,,,
Viluichthys_fradkini,Sarcopterygii,Famennian,,,,,59,,Vorobyeva 1977,,,,,,,,,,,,,,,,
Lamprotolepis_verrucosa,Sarcopterygii,Famennian,,,,,45,,Vorobyeva 1977,,,,,,,,,,,,,,,,
Barameda_decipiens,Sarcopterygii,Tournaisian,,,,,200,,Garvey et al. 2005,,,,,,,,,,,,,,,,
Delatitia_breviceps,Sarcopterygii,Tournaisian,,,,,80,,Long & Campbell 1985,,,,,,,,,,,,,,,,
Strepsodus?_anculonamensis,Sarcopterygii,Tournaisian,,,,,35,,Johanson & Ahlberg 1998,,,,,,,,,,,,,,,,
Rhabdoderma_sp.,Sarcopterygii,Tournaisian,,,,,22,,Dineley 1996,,,,,,,,,,,,,,,,
Letognathus_hardingi,Sarcopterygii,Tournaisian,,,,,92,,Brazeau 2005,,,,,,,,,,,,,,,,
Pycnoctenion_jacuticus,Sarcopterygii,Tournaisian,,,,,62,,Vorobyeva 1977,,,,,,,,,,,,,,,,
Coelacanthus_welleri,Sarcopterygii,Tournaisian-Visean,,,,,19,,Eastman 1908,,,,,,,,,,,,,,,,
Megalichthys_laticeps,Sarcopterygii,Visean,,,,,27,,Traquair 1884,,,,,,,,,,,,,,,,
Strepsodus_sauroides,Sarcopterygii,Visean-Serpukhovian,,,,,190,,Johanson et al. 2000,,,,,,,,,,,,,,,,
Rhizodus_hibberti,Sarcopterygii,Visean-Serpukhovian,,,,,700,,Vorobyeva & Obruchev 1967,,,,,,,,,,,,,,,,
Rhabdoderma_elegans,Sarcopterygii,Visean-Serpukhovian,,,,,18,,Forey 1981,,,,,,,,,,,,,,,,
Rhabdoderma_ardrossense,Sarcopterygii,Visean,,,,,11.7,,Forey 1981,,,,,,,,,,,,,,,,
Rhabdoderma_huxleyi,Sarcopterygii,Visean-Serpukhovian,,,,,16,,Forey 1981,,,,,,,,,,,,,,,,
Rhabdoderma_tingleyense,Sarcopterygii,Visean,,,,,45,,Forey 1981,,,,,,,,,,,,,,,,
Coelacanthopsis_curta,Sarcopterygii,Visean,,,,,9,,Frickhinger 1991,,,,,,,,,,,,,,,,
Cladarosymblea_narrienense,Sarcopterygii,Visean,,,,,22,,Fox et al. 1995,,,,,,,,,,,,,,,,
Floydus_punicellus,Sarcopterygii,Visean,,,,,97,,Snyder 2006,,,,,,,,,,,,,,,,
Screbinodus_ornatus,Sarcopterygii,Visean-Serpukhovian,,,,,150,,Jeffery 2012,,,,,,,,,,,,,,,,
Uronemus_splendens,Sarcopterygii,Visean-Serpukhovian,,,,,70,,Smith et al. 1987,,,,,,,,,,,,,,,,
Straitonia_watersoni,Sarcopterygii,Visean-Serpukhovian,,,,,50,,Sharp & Clack 2011,,,,,,,,,,,,,,,,
