Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Arenipiscis_westolli,Placodermi,Emsian,,,,,87,,Young 1981,carnivor,1,1,0,Head shield,1,1,0,"body armour with a tiny fin spine but likely to support the spine, not for defense",0,0,0,0,Arthrodiran placoderm similar to buchanosteus,,
Errolosteus_goodragibeensis,Placodermi,Emsian,,,,,77,,Young 1981,carnivor,1,1,0,Head shield,1,1,0,"body armour with a tiny fin spine but likely to support the spine, not for defense",0,0,0,0,Arthrodiran placoderm similar to buchanosteus,,
Elvaspis_tuberculata,Placodermi,Emsian,,,,,15,,Young 2009,likely carnivor,1,1,0,Head shield,1,1,0,body armour,?,?,?,?,Arthrodiran placoderm,,
Elvaspis_whitei,Placodermi,Emsian,,,,,11,,Young 2009,likely carnivor,1,1,0,Head shield,1,1,0,body armour,?,?,?,?,Arthrodiran placoderm,,
Bimbianga_burrinjuckensis,Placodermi,Emsian,,,,,130,,Young 2005,?,1,1,0,Head shield,?,?,?,?,?,?,?,?,Arthrodiran placoderm,,
Wijdeaspis_warrooensis,Placodermi,Emsian,,,,,20,,Denison 1978; Young 1978,?,1,1,0,Head shield,?,?,?,No remains?,,?,?,?,"Petalichthyids, so probably similar to Lunaspis = with ig pectoral spines",,
Nefundia_qalibahensis,Placodermi,Emsian,,,,,51,,Lelievre et al. 1985,small stuff,1/0,1/0,0,Rhenanids has some sord of body armoured but it is composed of few large plates and a lot of tesserae,1,1,1,Light body armour with tiny fin spine,0,0,0,0,Rhenanid,,
Aleosteus_eganensis,Placodermi,Emsian,,,,,18,,Johnson et al. 2000,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,0,0,0,0,Arthrodire similar to Dicksonosteus,,
Anarthraspis_montana,Placodermi,Emsian,,,,,69,,Bryant & Ruedemann 1934,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,0,0,0,0,Arthrodire similar to Dicksonosteus,,
Bryantolepis_brachycephala,Placodermi,Emsian,,,,,14,,Elliott & Carr 2010,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,0,0,0,0,Arthrodire similar to Dicksonosteus,,
Bryantolepis_williamsi,Placodermi,Emsian,,,,,22,,Elliott & Carr 2010,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,0,0,0,0,Arthrodire similar to Dicksonosteus,,
Simblaspis_cachensis,Placodermi,Emsian,,,,,47,,Denison 1953b,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,0,0,0,0,Arthrodire similar to Kujdanowiaspis,,
Aethaspis_major,Placodermi,Emsian,,,,,59,,Denison 1953b,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,0,0,0,0,Arthrodire similar to Kujdanowiaspis,,
Aethaspis_utahensis,Placodermi,Emsian,,,,,31,,Denison 1953b,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,0,0,0,0,Arthrodire similar to Kujdanowiaspis,,
Atlantidosteus_pacifica,Placodermi,Eifelian,,,,,500,,Young 2003,carnivor,1,1,0,Head shield,1,1,0,"body armour with a tiny fin spine but likely to support the spine, not for defense",0,0,0,0,Arthrodiran placoderm similar to buchanosteus,,
Coccosteus_cuspidatus,Placodermi,Eifelian-Givetian,,,,,40,,Denison 1978,carnivor,1,1,0,Head shield,1,1,0,body armour,0,0,0,0,Arthrodiran placoderm,,
Sherbonaspis_andreannae,Placodermi,Eifelian-Givetian,,,,,20,,Pateleyev 1993,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Bolivosteus_chacomensis,Placodermi,Eifelian,,,,,8,,Maisley & Janvier 2011,small stuff,1/0,1/0,0,Rhenanids has some sord of body armoured but it is composed of few large plates and a lot of tesserae,1,1,1,Light body armour with tiny fin spine,0,0,0,0,Rhenanid,,
Holonema_sp.,Placodermi,Eifelian,,,,,19,,Rade 1964,small stuff,1,1,0,Head shield,1,1,0,body armour,0,0,0,0,"Arthrodire with very reduced biting surface, likely scavengers",,
