Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,0tes,Habitat or water depth,Geographical Distribution
Acritolepis_urvantsevi,Acanthodii,Lochkovian,,,,,12,,"Valiukevius, 2003b",,0,NA,NA,NA,1,1,?,Fin spines and (possible) armoured shoulder girdle,0,NA,NA,NA,Fin spines,,
Poracanthodes_punctatus,Acanthodii,Lochkovian-Pragian,,,,,20,,"Valiukevius, 2003b",,?,?,?,?,?,?,?,?,?,?,?,?,Isolated scales and jawbones,,
Acanthophora_transitans,Acanthodii,Lochkovian,,,,,7.5,,"Valiukevius, 2003b",,?,?,?,0t preserved,1,1,0,Fin spines,0,NA,NA,NA,,,
Sinacanthus_wuchangensis,Acanthodii,Lochkovian-Givetian,,,,,47,,Maisley & Janvier 2011,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Sinacanthus_sp.,Acanthodii,Lochkovian,,,,,27,,Maisley & Janvier 2011,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Parexus_incurvus,Acanthodii,Lochkovian,,,,,7.5,,0yitskava & Obruchev 1967,,0,NA,NA,NA,1,1,1,Fin spines and armoured shoulder girdle,0,NA,NA,NA,Fin spines -,,
Machaeracanthus_goujeti,Acanthodii,Pragian,,,,,30,,Botella et al. 2012,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,Fin spine,,
Machaeracanthus_hunsrueckianum,Acanthodii,Pragian-Emsian,,,,,150,,"Sudkamp and Burrow, 2007",,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Machaeracanthus_peracutus,Acanthodii,Pragian-Emsian,,,,,81,,Newberry 1889,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Machaeracanthus_sulcatus,Acanthodii,Pragian-Givetian,,,,,110,,Newberry 1889,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
Undichna_septesmsulcata,Acanthodii,Pragian,,,,,34,,Wisshak et al. 2004,,,,,,,,,,,,,,This is a trace fossil - dubious we should include,,
Bryantonchus_peracutus,Acanthodii,Pragian-Emsian,,,,,31,,Burrow 2007,,?,?,?,?,1,1,?,Isolated fin spines,?,?,?,?,,,
